region,solar_radiation,date
북춘천,0.0,2022-06-08-05:00
북춘천,0.08,2022-06-08-06:00
북춘천,0.35,2022-06-08-07:00
북춘천,0.67,2022-06-08-08:00
북춘천,1.46,2022-06-08-09:00
북춘천,1.79,2022-06-08-10:00
북춘천,3.24,2022-06-08-11:00
북춘천,3.72,2022-06-08-12:00
북춘천,3.79,2022-06-08-13:00
북춘천,2.84,2022-06-08-14:00
북춘천,1.37,2022-06-08-15:00
북춘천,1.16,2022-06-08-16:00
북춘천,1.33,2022-06-08-17:00
북춘천,0.86,2022-06-08-18:00
북춘천,0.36,2022-06-08-19:00
북춘천,0.02,2022-06-08-20:00
북춘천,0.0,2022-06-08-21:00
북춘천,0.0,2022-06-09-00:00
북춘천,0.0,2022-06-09-01:00
북춘천,0.0,2022-06-09-02:00
북춘천,0.0,2022-06-09-03:00
북춘천,0.0,2022-06-09-04:00
북춘천,0.0,2022-06-09-05:00
북춘천,0.04,2022-06-09-06:00
북춘천,0.24,2022-06-09-07:00
북춘천,0.48,2022-06-09-08:00
북춘천,0.6,2022-06-09-09:00
북춘천,0.87,2022-06-09-10:00
북춘천,1.87,2022-06-09-11:00
북춘천,2.41,2022-06-09-12:00
북춘천,1.68,2022-06-09-13:00
북춘천,0.77,2022-06-09-14:00
북춘천,0.56,2022-06-09-15:00
북춘천,0.43,2022-06-09-16:00
북춘천,0.18,2022-06-09-17:00
북춘천,0.18,2022-06-09-18:00
북춘천,0.27,2022-06-09-19:00
북춘천,0.05,2022-06-09-20:00
북춘천,0.0,2022-06-09-21:00
북춘천,0.0,2022-06-10-00:00
북춘천,0.0,2022-06-10-01:00
북춘천,0.0,2022-06-10-02:00
북춘천,0.0,2022-06-10-03:00
북춘천,0.0,2022-06-10-04:00
북춘천,0.0,2022-06-10-05:00
북춘천,0.04,2022-06-10-06:00
북춘천,0.16,2022-06-10-07:00
북춘천,0.52,2022-06-10-08:00
북춘천,0.8,2022-06-10-09:00
북춘천,1.34,2022-06-10-10:00
북춘천,2.34,2022-06-10-11:00
북춘천,2.43,2022-06-10-12:00
북춘천,2.27,2022-06-10-13:00
북춘천,1.97,2022-06-10-14:00
북춘천,0.5,2022-06-10-15:00
북춘천,0.9,2022-06-10-16:00
북춘천,0.9,2022-06-10-17:00
북춘천,0.79,2022-06-10-18:00
북춘천,0.25,2022-06-10-19:00
북춘천,0.06,2022-06-10-20:00
북춘천,0.0,2022-06-10-21:00
북춘천,0.0,2022-06-11-00:00
북춘천,0.0,2022-06-11-01:00
북춘천,0.0,2022-06-11-02:00
북춘천,0.0,2022-06-11-03:00
북춘천,0.0,2022-06-11-04:00
북춘천,0.0,2022-06-11-05:00
북춘천,0.05,2022-06-11-06:00
북춘천,0.58,2022-06-11-07:00
북춘천,1.13,2022-06-11-08:00
북춘천,2.17,2022-06-11-09:00
북춘천,2.32,2022-06-11-10:00
북춘천,2.41,2022-06-11-11:00
북춘천,3.41,2022-06-11-12:00
북춘천,3.6,2022-06-11-13:00
북춘천,2.42,2022-06-11-14:00
북춘천,1.38,2022-06-11-15:00
북춘천,1.4,2022-06-11-16:00
북춘천,1.12,2022-06-11-17:00
북춘천,0.47,2022-06-11-18:00
북춘천,0.53,2022-06-11-19:00
북춘천,0.07,2022-06-11-20:00
북춘천,0.0,2022-06-11-21:00
북춘천,0.0,2022-06-12-00:00
북춘천,0.0,2022-06-12-01:00
북춘천,0.0,2022-06-12-02:00
북춘천,0.0,2022-06-12-03:00
북춘천,0.0,2022-06-12-04:00
북춘천,0.0,2022-06-12-05:00
북춘천,0.08,2022-06-12-06:00
북춘천,0.58,2022-06-12-07:00
북춘천,1.34,2022-06-12-08:00
북춘천,1.96,2022-06-12-09:00
북춘천,2.64,2022-06-12-10:00
북춘천,3.15,2022-06-12-11:00
