dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data4,EPT-STGCN,4,16,150,0.08726733922958374,0.0630248486995697,1112.981406211853
data4,EPT-STGCN,4,32,150,0.0879913717508316,0.06310559064149857,1129.3154182434082
data4,EPT-STGCN,4,64,150,0.08348400890827179,0.060765340924263,1174.6267549991608
data4,EPT-STGCN,8,16,150,0.09120016545057297,0.06284648180007935,1156.719971895218
data4,EPT-STGCN,8,32,150,0.09094896167516708,0.06210056319832802,1169.0052857398987
data4,EPT-STGCN,8,64,150,0.08715453743934631,0.06228015571832657,1206.8683624267578
data4,EPT-STGCN,12,16,150,0.08848410099744797,0.06307324022054672,1181.08278465271
data4,EPT-STGCN,12,32,150,0.09583721309900284,0.06378030776977539,1195.4302389621735
data4,EPT-STGCN,12,64,150,0.09435628354549408,0.06314785033464432,1240.0672602653503
data4,EPT-STGCN,4,16,150,0.08534634113311768,0.06143651530146599,1120.4433319568634
data4,EPT-STGCN,4,32,150,0.08583050221204758,0.061659496277570724,1129.866090297699
data4,EPT-STGCN,4,64,150,0.0839952602982521,0.06153301149606705,1172.8654153347015
data4,EPT-STGCN,8,16,150,0.0938129648566246,0.06417696923017502,1164.4730007648468
data4,EPT-STGCN,8,32,150,0.08971284329891205,0.06232747435569763,1181.418110370636
data4,EPT-STGCN,8,64,150,0.09024827927350998,0.062315791845321655,1214.2628428936005
data4,EPT-STGCN,12,16,150,0.09698248654603958,0.06395675241947174,1177.8377134799957
data4,EPT-STGCN,12,32,150,0.0881667360663414,0.06267480552196503,1192.4288520812988
data4,EPT-STGCN,12,64,150,0.09018781036138535,0.06251820921897888,1242.4018743038177
data4,EPT-STGCN,4,16,150,0.08697976917028427,0.06274937093257904,1132.0540039539337
data4,EPT-STGCN,4,32,150,0.08282282203435898,0.06095660477876663,1140.1369700431824
data4,EPT-STGCN,4,64,150,0.0848880410194397,0.06299146264791489,1170.0472655296326
data4,EPT-STGCN,8,16,150,0.09009700268507004,0.0630202516913414,1161.775467157364
data4,EPT-STGCN,8,32,150,0.08780928701162338,0.06200259551405907,1180.4907422065735
data4,EPT-STGCN,8,64,150,0.08878355473279953,0.06325601786375046,1210.539849281311
data4,EPT-STGCN,12,16,150,0.10869430005550385,0.07028999924659729,1180.4329750537872
data4,EPT-STGCN,12,32,150,0.09471245855093002,0.06471383571624756,1193.6044392585754
data4,EPT-STGCN,12,64,150,0.09448498487472534,0.06516752392053604,1228.098811864853
data4,EPT-STGCN,4,16,150,0.09029190242290497,0.06656856089830399,1114.4480390548706
data4,EPT-STGCN,4,32,150,0.0844666138291359,0.06128391623497009,1133.360669851303
data4,EPT-STGCN,4,64,150,0.08499854058027267,0.06108890473842621,1170.4760718345642
data4,EPT-STGCN,8,16,150,0.08793234825134277,0.061825238168239594,1148.0693650245667
data4,EPT-STGCN,8,32,150,0.0881737694144249,0.06193296238780022,1165.8499715328217
data4,EPT-STGCN,8,64,150,0.09056908637285233,0.06476131826639175,1206.2595736980438
data4,EPT-STGCN,12,16,150,0.09040965139865875,0.06267942488193512,1195.5561037063599
data4,EPT-STGCN,12,32,150,0.09381527453660965,0.06397094577550888,1337.0520117282867
data4,EPT-STGCN,12,64,150,0.09157997369766235,0.06193580478429794,1237.6354377269745
data4,EPT-STGCN,4,16,150,0.08430803567171097,0.061694853007793427,1118.2227749824524
data4,EPT-STGCN,4,32,150,0.085255466401577,0.06145968288183212,1131.7326560020447
data4,EPT-STGCN,4,64,150,0.08304111659526825,0.06139563024044037,1190.0325119495392
data4,EPT-STGCN,8,16,150,0.09086049348115921,0.06359957903623581,1531.203534603119
data4,EPT-STGCN,8,32,150,0.09067855775356293,0.06415554136037827,1556.424721479416
data4,EPT-STGCN,8,64,150,0.08863624185323715,0.06395810097455978,1608.976632118225
data4,EPT-STGCN,12,16,150,0.09447281062602997,0.06631719321012497,1560.5240983963013
data4,EPT-STGCN,12,32,150,0.09422355145215988,0.06508398801088333,1584.8355119228363
data4,EPT-STGCN,12,64,150,0.09818955510854721,0.06655260175466537,1641.9675233364105
data4,EPT-STGCN,4,16,150,0.0868375152349472,0.06331425160169601,1504.40625333786
data4,EPT-STGCN,4,32,150,0.08454861491918564,0.061051636934280396,1184.2997941970825
data4,EPT-STGCN,4,64,150,0.08434072881937027,0.06100183352828026,1175.6317563056946
data4,EPT-STGCN,8,16,150,0.09672719240188599,0.06614772975444794,1163.868953704834
data4,EPT-STGCN,8,32,150,0.09133485704660416,0.06444302201271057,1162.2984297275543
data4,EPT-STGCN,8,64,150,0.08759912103414536,0.06208757683634758,1205.2087931632996
data4,EPT-STGCN,12,16,150,0.09953079372644424,0.06711190193891525,1195.3293070793152
data4,EPT-STGCN,12,32,150,0.1089589074254036,0.07217401266098022,1202.6293709278107
data4,EPT-STGCN,12,64,150,0.09757455438375473,0.06502605229616165,1244.2053773403168
data4,EPT-STGCN,4,16,150,0.08611762523651123,0.06404402107000351,1136.708079814911
data4,EPT-STGCN,4,32,150,0.08589781820774078,0.06279464811086655,1143.008808374405
data4,EPT-STGCN,4,64,150,0.08911769837141037,0.06322136521339417,1182.4609653949738
data4,EPT-STGCN,8,16,150,0.08946077525615692,0.06266665458679199,1169.0585396289825
data4,EPT-STGCN,8,32,150,0.08850892633199692,0.0626872181892395,1176.2654776573181
data4,EPT-STGCN,8,64,150,0.08976878970861435,0.0626075491309166,1218.0576465129852
data4,EPT-STGCN,12,16,150,0.09147090464830399,0.06301093846559525,1189.9194531440735
data4,EPT-STGCN,12,32,150,0.09063444286584854,0.06370096653699875,1203.407289981842
data4,EPT-STGCN,12,64,150,0.10165399312973022,0.07207383960485458,1250.7735981941223
data4,EPT-STGCN,4,16,150,0.08791928738355637,0.06376422941684723,1134.2282478809357
data4,EPT-STGCN,4,32,150,0.0846962183713913,0.06183120235800743,1146.6956419944763
data4,EPT-STGCN,4,64,150,0.08660481870174408,0.06351747363805771,1177.750948190689
data4,EPT-STGCN,8,16,150,0.09029681980609894,0.06373646855354309,1164.634198665619
data4,EPT-STGCN,8,32,150,0.09544649720191956,0.06759430468082428,1190.2210083007812
data4,EPT-STGCN,8,64,150,0.09585823863744736,0.06476178765296936,1603.3012166023254
data4,EPT-STGCN,12,16,150,0.09216216206550598,0.0634818822145462,1569.5837223529816
data4,EPT-STGCN,12,32,150,0.0908048003911972,0.06255123764276505,1590.4796297550201
data4,EPT-STGCN,12,64,150,0.09553484618663788,0.06562712788581848,1260.3835065364838
data4,EPT-STGCN,4,16,150,0.08603204786777496,0.06310367584228516,1129.8975064754486
data4,EPT-STGCN,4,32,150,0.08745963871479034,0.06478838622570038,1153.589260339737
data4,EPT-STGCN,4,64,150,0.08497542887926102,0.0621248297393322,1189.586213350296
data4,EPT-STGCN,8,16,150,0.08917783945798874,0.06168358400464058,1163.0515892505646
data4,EPT-STGCN,8,32,150,0.08950000256299973,0.06326661258935928,1183.708844423294
data4,EPT-STGCN,8,64,150,0.09041570127010345,0.06376469880342484,1520.046602010727
data4,EPT-STGCN,12,16,150,0.09532943367958069,0.06514973193407059,1564.6868796348572
data4,EPT-STGCN,12,32,150,0.09159977734088898,0.06443243473768234,1588.6968264579773
data4,EPT-STGCN,12,64,150,0.09421585500240326,0.06628749519586563,1637.6426515579224
data4,EPT-STGCN,4,16,150,0.08492511510848999,0.06190752238035202,1479.9197998046875
data4,EPT-STGCN,4,32,150,0.08696211129426956,0.06437959522008896,1500.4066803455353
data4,EPT-STGCN,4,64,150,0.08427999168634415,0.061584942042827606,1427.3730461597443
data4,EPT-STGCN,8,16,150,0.09078631550073624,0.06247164309024811,1157.8926482200623
data4,EPT-STGCN,8,32,150,0.09115216135978699,0.06595761328935623,1236.580851316452
data4,EPT-STGCN,8,64,150,0.08920621126890182,0.061516325920820236,1597.2851164340973
data4,EPT-STGCN,12,16,150,0.09764204174280167,0.06663313508033752,1394.4141643047333
data4,EPT-STGCN,12,32,150,0.09050638228654861,0.06369159370660782,1192.861155986786
data4,EPT-STGCN,12,64,150,0.10247726738452911,0.06755591183900833,1235.3662219047546
