dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data4,EPT-STGCN,4,16,100,0.08463220298290253,0.06143638491630554,729.6991655826569
data4,EPT-STGCN,4,32,100,0.08838369697332382,0.06612776964902878,757.3650817871094
data4,EPT-STGCN,4,64,100,0.0832102969288826,0.06098703294992447,791.446206331253
data4,EPT-STGCN,8,16,100,0.0952172502875328,0.06498220562934875,775.7119343280792
data4,EPT-STGCN,8,32,100,0.09295894205570221,0.06325371563434601,782.3905889987946
data4,EPT-STGCN,8,64,100,0.08782649785280228,0.06191980838775635,842.353245973587
data4,EPT-STGCN,12,16,100,0.0905514732003212,0.06197107210755348,1035.9551603794098
data4,EPT-STGCN,12,32,100,0.09599792212247849,0.06342262029647827,1045.2768001556396
data4,EPT-STGCN,12,64,100,0.10778205096721649,0.0704701691865921,1074.8114776611328
data4,EPT-STGCN,4,16,100,0.08456022292375565,0.061047330498695374,991.5158014297485
data4,EPT-STGCN,4,32,100,0.0855824276804924,0.062193144112825394,1000.2143657207489
data4,EPT-STGCN,4,64,100,0.08507595211267471,0.06133975833654404,1037.4079320430756
data4,EPT-STGCN,8,16,100,0.0943184643983841,0.06412559747695923,1026.2180676460266
data4,EPT-STGCN,8,32,100,0.09287399053573608,0.06380610167980194,898.6512639522552
data4,EPT-STGCN,8,64,100,0.08833907544612885,0.06277268379926682,808.0428836345673
data4,EPT-STGCN,12,16,100,0.10174073278903961,0.06683151423931122,795.7825529575348
data4,EPT-STGCN,12,32,100,0.09499270468950272,0.06411473453044891,798.1842613220215
data4,EPT-STGCN,12,64,100,0.09190700948238373,0.062381718307733536,823.0482909679413
data4,EPT-STGCN,4,16,100,0.08673862367868423,0.06456125527620316,742.6556658744812
data4,EPT-STGCN,4,32,100,0.08824391663074493,0.06444813311100006,753.4215466976166
data4,EPT-STGCN,4,64,100,0.08470241725444794,0.06110156327486038,769.051301240921
data4,EPT-STGCN,8,16,100,0.1031448021531105,0.06902511417865753,764.7971217632294
data4,EPT-STGCN,8,32,100,0.09775689989328384,0.06490772217512131,781.3822786808014
data4,EPT-STGCN,8,64,100,0.09004701673984528,0.06247231736779213,794.6010501384735
data4,EPT-STGCN,12,16,100,0.09450709819793701,0.06398654729127884,782.9822220802307
data4,EPT-STGCN,12,32,100,0.10151096433401108,0.06663874536752701,796.9731311798096
data4,EPT-STGCN,12,64,100,0.09525436162948608,0.06344131380319595,821.0406732559204
data4,EPT-STGCN,4,16,100,0.0858917236328125,0.06414791196584702,748.023711681366
data4,EPT-STGCN,4,32,100,0.08504950255155563,0.06218336895108223,760.0101232528687
data4,EPT-STGCN,4,64,100,0.08848266303539276,0.0642472505569458,781.1040661334991
data4,EPT-STGCN,8,16,100,0.09217105805873871,0.063614122569561,768.222674369812
data4,EPT-STGCN,8,32,100,0.08922287076711655,0.0626252219080925,776.7998125553131
data4,EPT-STGCN,8,64,100,0.08885609358549118,0.06214798241853714,808.8083510398865
data4,EPT-STGCN,12,16,100,0.09792874753475189,0.06294681876897812,783.4062790870667
data4,EPT-STGCN,12,32,100,0.09978269040584564,0.06756867468357086,793.1422052383423
data4,EPT-STGCN,12,64,100,0.10559459030628204,0.07131730765104294,825.5172226428986
data4,EPT-STGCN,4,16,100,0.08456198871135712,0.06168440356850624,743.0211145877838
data4,EPT-STGCN,4,32,100,0.08576532453298569,0.06197077035903931,750.1026947498322
data4,EPT-STGCN,4,64,100,0.08437490463256836,0.06175559014081955,778.7467424869537
data4,EPT-STGCN,8,16,100,0.08970905840396881,0.06212668865919113,766.084787607193
data4,EPT-STGCN,8,32,100,0.09111301600933075,0.062283728271722794,773.397581577301
data4,EPT-STGCN,8,64,100,0.08829162269830704,0.062221139669418335,802.238519191742
data4,EPT-STGCN,12,16,100,0.09250587224960327,0.06135006248950958,784.4996683597565
data4,EPT-STGCN,12,32,100,0.09515069425106049,0.06389713287353516,790.8010678291321
data4,EPT-STGCN,12,64,100,0.09177004545927048,0.06281299889087677,820.3592846393585
data4,EPT-STGCN,4,16,100,0.08522248268127441,0.06154514476656914,750.2038369178772
data4,EPT-STGCN,4,32,100,0.08722860366106033,0.0625733956694603,750.6803736686707
data4,EPT-STGCN,4,64,100,0.08518671244382858,0.06169867515563965,776.4367787837982
data4,EPT-STGCN,8,16,100,0.09809539467096329,0.06622589379549026,771.4321854114532
data4,EPT-STGCN,8,32,100,0.09258351475000381,0.06367509067058563,777.6895687580109
data4,EPT-STGCN,8,64,100,0.08935577422380447,0.06272856146097183,808.6941649913788
data4,EPT-STGCN,12,16,100,0.09175514429807663,0.06273433566093445,792.8016865253448
data4,EPT-STGCN,12,32,100,0.09625101834535599,0.06549902260303497,801.9155356884003
data4,EPT-STGCN,12,64,100,0.10363838821649551,0.06659943610429764,830.389636516571
data4,EPT-STGCN,4,16,100,0.0871054083108902,0.06339944899082184,750.7634394168854
data4,EPT-STGCN,4,32,100,0.08684620261192322,0.0628536194562912,755.379442691803
data4,EPT-STGCN,4,64,100,0.08517079800367355,0.06180160492658615,778.7493982315063
data4,EPT-STGCN,8,16,100,0.09311767667531967,0.06386164575815201,771.1571619510651
data4,EPT-STGCN,8,32,100,0.09067557007074356,0.06312008202075958,781.4211645126343
data4,EPT-STGCN,8,64,100,0.09062466025352478,0.06299164146184921,802.1039698123932
data4,EPT-STGCN,12,16,100,0.1015009731054306,0.0673925131559372,784.4363393783569
data4,EPT-STGCN,12,32,100,0.1107168048620224,0.07232864946126938,793.269948720932
data4,EPT-STGCN,12,64,100,0.09551066905260086,0.06522972881793976,816.7493844032288
data4,EPT-STGCN,4,16,100,0.08558186143636703,0.06107918173074722,746.9295761585236
data4,EPT-STGCN,4,32,100,0.08399748802185059,0.06107763573527336,757.9108748435974
data4,EPT-STGCN,4,64,100,0.08444231748580933,0.06080208718776703,777.8361341953278
data4,EPT-STGCN,8,16,100,0.10029815882444382,0.06709590554237366,772.5854141712189
data4,EPT-STGCN,8,32,100,0.0956360399723053,0.06532171368598938,783.2763376235962
data4,EPT-STGCN,8,64,100,0.0906345322728157,0.06408215314149857,803.5814070701599
data4,EPT-STGCN,12,16,100,0.09793207794427872,0.06782760471105576,879.9028718471527
data4,EPT-STGCN,12,32,100,0.09454894810914993,0.06399940699338913,925.5417773723602
data4,EPT-STGCN,12,64,100,0.09819535911083221,0.07308540493249893,820.6206033229828
data4,EPT-STGCN,4,16,100,0.08383496105670929,0.06117072328925133,736.7780299186707
data4,EPT-STGCN,4,32,100,0.08806832879781723,0.06299720704555511,747.594300031662
data4,EPT-STGCN,4,64,100,0.08553096652030945,0.06362749636173248,772.9415373802185
