dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
ver1,Ver1,4,4,50,0.5141586661338806,0.6356916427612305,7.833570718765259
ver1,Ver1,4,16,50,0.07007618248462677,0.0691073089838028,8.298882722854614
ver1,Ver1,4,32,50,0.5141587257385254,0.6357256770133972,8.47782826423645
ver1,Ver1,8,4,50,0.05810779705643654,0.062762551009655,7.4761974811553955
ver1,Ver1,8,16,50,0.07366540282964706,0.09057670831680298,7.852796792984009
ver1,Ver1,8,32,50,0.07428356260061264,0.0769738256931305,8.130096197128296
ver1,Ver1,24,4,50,0.5692901015281677,0.6748561263084412,6.403719186782837
ver1,Ver1,24,16,50,0.7126660943031311,0.9316990375518799,6.6747822761535645
ver1,Ver1,24,32,50,0.1150389313697815,0.10398796200752258,6.768831729888916
ver1,Ver1,4,4,50,0.07069722563028336,0.0661327913403511,7.771265268325806
ver1,Ver1,4,16,50,0.08328889310359955,0.08330462872982025,8.2088623046875
ver1,Ver1,4,32,50,0.06607954204082489,0.06430260092020035,8.435871601104736
ver1,Ver1,8,4,50,0.525961697101593,0.6253874897956848,7.457511901855469
ver1,Ver1,8,16,50,0.06075867637991905,0.061474863439798355,7.91873574256897
ver1,Ver1,8,32,50,0.5259610414505005,0.6255530714988708,8.226784944534302
ver1,Ver1,24,4,50,0.5480293035507202,0.6215431690216064,6.448294162750244
ver1,Ver1,24,16,50,0.14017941057682037,0.12279358506202698,6.61236047744751
ver1,Ver1,24,32,50,0.712868332862854,0.9320283532142639,6.772577524185181
ver1,Ver1,4,4,50,0.07366415858268738,0.06567282229661942,7.80858302116394
ver1,Ver1,4,16,50,0.06802132725715637,0.06503098458051682,8.281381845474243
ver1,Ver1,4,32,50,0.0705491155385971,0.06822048127651215,8.46689748764038
ver1,Ver1,8,4,50,0.06217184662818909,0.0699557512998581,7.459656000137329
ver1,Ver1,8,16,50,0.06024496629834175,0.07111292332410812,7.888003587722778
ver1,Ver1,8,32,50,0.07309499382972717,0.07621234655380249,8.190110445022583
ver1,Ver1,24,4,50,0.12763556838035583,0.1164245679974556,6.513325929641724
ver1,Ver1,24,16,50,0.6234686970710754,0.7823907732963562,6.655056953430176
ver1,Ver1,24,32,50,0.6842674016952515,0.8862138390541077,6.832163333892822
ver1,Ver1,4,4,50,0.07604952156543732,0.07277172058820724,7.843665599822998
ver1,Ver1,4,16,50,0.5141587257385254,0.635731041431427,8.2303626537323
ver1,Ver1,4,32,50,0.06636138260364532,0.06592895090579987,8.445083856582642
ver1,Ver1,8,4,50,0.0650443583726883,0.065927654504776,7.460103511810303
ver1,Ver1,8,16,50,0.10108362883329391,0.0943661704659462,7.932569265365601
ver1,Ver1,8,32,50,0.1611345261335373,0.18887822329998016,8.178875207901001
ver1,Ver1,24,4,50,0.5686817765235901,0.6734933257102966,6.470255136489868
ver1,Ver1,24,16,50,0.6259182691574097,0.7868192791938782,6.617538213729858
ver1,Ver1,24,32,50,0.6859806776046753,0.8890014886856079,6.776889085769653
ver1,Ver1,4,4,50,0.5141587257385254,0.635720431804657,7.833697080612183
ver1,Ver1,4,16,50,0.07157731056213379,0.06870635598897934,8.246041297912598
ver1,Ver1,4,32,50,0.06839007884263992,0.06536480039358139,8.44567322731018
ver1,Ver1,8,4,50,0.5259772539138794,0.6258151531219482,7.457645893096924
ver1,Ver1,8,16,50,0.06196627765893936,0.06287244707345963,7.869707822799683
ver1,Ver1,8,32,50,0.5259612202644348,0.6255142092704773,8.126996755599976
ver1,Ver1,24,4,50,0.11798807233572006,0.1202383041381836,6.465723514556885
ver1,Ver1,24,16,50,0.6265338659286499,0.7879250049591064,6.620329141616821
ver1,Ver1,24,32,50,0.0855838879942894,0.07527915388345718,6.881441116333008
ver1,Ver1,4,4,50,0.0756305381655693,0.07014746218919754,7.833820104598999
ver1,Ver1,4,16,50,0.5141586661338806,0.635680079460144,8.231164693832397
ver1,Ver1,4,32,50,0.07327038049697876,0.06924235075712204,8.587748527526855
ver1,Ver1,8,4,50,0.060746245086193085,0.062346477061510086,7.544430494308472
ver1,Ver1,8,16,50,0.06212334334850311,0.06362317502498627,7.885993957519531
ver1,Ver1,8,32,50,0.08147241920232773,0.08950899541378021,8.14927053451538
ver1,Ver1,24,4,50,0.5483283996582031,0.6224051117897034,6.441003322601318
ver1,Ver1,24,16,50,0.6584885120391846,0.8434829115867615,6.644176483154297
ver1,Ver1,24,32,50,0.686994731426239,0.8906506896018982,6.847291707992554
ver1,Ver1,4,4,50,0.5141587257385254,0.6357102394104004,7.825793027877808
ver1,Ver1,4,16,50,0.5141587257385254,0.6357658505439758,8.234683513641357
ver1,Ver1,4,32,50,0.07247764617204666,0.06748880445957184,8.516995906829834
ver1,Ver1,8,4,50,0.06048354506492615,0.06669583916664124,7.505497694015503
ver1,Ver1,8,16,50,0.08620242029428482,0.09184891730546951,7.917175054550171
ver1,Ver1,8,32,50,0.08678586781024933,0.0873330682516098,8.181652784347534
ver1,Ver1,24,4,50,0.5692946910858154,0.6748785972595215,6.478490352630615
ver1,Ver1,24,16,50,0.7118268013000488,0.9303522109985352,6.678530693054199
ver1,Ver1,24,32,50,0.712657630443573,0.9317048788070679,6.816946744918823
ver1,Ver1,4,4,50,0.5141586065292358,0.6356883645057678,7.8157055377960205
