dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
ver1,Ver1,4,16,50,0.5141587257385254,0.6357322335243225,8.298215389251709
ver1,Ver1,4,32,50,0.07569172978401184,0.07205598056316376,8.44084644317627
ver1,Ver1,8,16,50,0.05495097115635872,0.06378532201051712,7.913930416107178
ver1,Ver1,8,32,50,0.06271202862262726,0.06707943975925446,8.137929201126099
ver1,Ver1,24,16,50,0.7125619649887085,0.9315526485443115,6.591627597808838
ver1,Ver1,24,32,50,0.6860131025314331,0.889147162437439,6.767666816711426
ver1,Ver1,4,16,50,0.07224790006875992,0.07197201251983643,8.270798683166504
ver1,Ver1,4,32,50,0.5141587257385254,0.6357105374336243,8.485839128494263
ver1,Ver1,8,16,50,0.06908397376537323,0.07207497954368591,7.952063083648682
ver1,Ver1,8,32,50,0.062473542988300323,0.06375093013048172,8.176631212234497
ver1,Ver1,24,16,50,0.07572745531797409,0.06453649699687958,6.6277148723602295
ver1,Ver1,24,32,50,0.7092546224594116,0.9263229370117188,6.773407459259033
ver1,Ver1,4,16,50,0.06695514917373657,0.06749498099088669,8.31594967842102
ver1,Ver1,4,32,50,0.06870909780263901,0.06527744978666306,8.51376485824585
ver1,Ver1,8,16,50,0.05926884338259697,0.07177077978849411,7.960897207260132
ver1,Ver1,8,32,50,0.05881447345018387,0.07274135947227478,8.246122360229492
ver1,Ver1,24,16,50,0.7120505571365356,0.9307370781898499,6.802409887313843
ver1,Ver1,24,32,50,0.7289565205574036,0.9572115540504456,6.789206504821777
ver1,Ver1,4,16,50,0.5141586661338806,0.635685384273529,8.31753134727478
ver1,Ver1,4,32,50,0.06550435721874237,0.06385806947946548,8.639198064804077
ver1,Ver1,8,16,50,0.5259624719619751,0.6254181861877441,8.209445714950562
ver1,Ver1,8,32,50,0.525994062423706,0.6255121827125549,8.528320074081421
ver1,Ver1,24,16,50,0.5926575064659119,0.7241320610046387,6.648166179656982
ver1,Ver1,24,32,50,0.2511146068572998,0.24406805634498596,6.898127794265747
ver1,Ver1,4,16,50,0.5141586661338806,0.6357129812240601,8.272640228271484
ver1,Ver1,4,32,50,0.5141946077346802,0.6357846260070801,8.496204137802124
ver1,Ver1,8,16,50,0.08603901416063309,0.10528334975242615,8.130188703536987
ver1,Ver1,8,32,50,0.5290672183036804,0.659377932548523,8.20349669456482
ver1,Ver1,24,16,50,0.6566210389137268,0.8403297662734985,6.816120147705078
ver1,Ver1,24,32,50,0.09268264472484589,0.09304849803447723,7.030682802200317
ver1,Ver1,4,16,50,0.0690467581152916,0.06505847722291946,8.458338499069214
ver1,Ver1,4,32,50,0.06756521761417389,0.06556303054094315,8.717544794082642
ver1,Ver1,8,16,50,0.5260024070739746,0.6257091164588928,8.053333282470703
ver1,Ver1,8,32,50,0.060331180691719055,0.06296411901712418,8.231203317642212
ver1,Ver1,24,16,50,0.6212725639343262,0.7784179449081421,6.766804218292236
ver1,Ver1,24,32,50,0.6218429803848267,0.779452383518219,6.871156692504883
ver1,Ver1,4,16,50,0.07088355720043182,0.06623716652393341,8.522376775741577
ver1,Ver1,4,32,50,0.0712171196937561,0.06657171249389648,8.767646312713623
ver1,Ver1,8,16,50,0.5290403366088867,0.6589704155921936,8.05840277671814
ver1,Ver1,8,32,50,0.08268710225820541,0.08706074953079224,8.231030702590942
ver1,Ver1,24,16,50,0.11530184000730515,0.08902854472398758,6.754604339599609
ver1,Ver1,24,32,50,0.6874152421951294,0.8913352489471436,6.869210243225098
ver1,Ver1,4,16,50,0.07028128951787949,0.06692234426736832,8.389966487884521
ver1,Ver1,4,32,50,0.06913863867521286,0.06658626347780228,8.454826354980469
ver1,Ver1,8,16,50,0.11906511336565018,0.07505372911691666,8.056589126586914
ver1,Ver1,8,32,50,0.1397954523563385,0.14937911927700043,8.416601657867432
ver1,Ver1,24,16,50,0.6263654828071594,0.7876090407371521,6.6405580043792725
ver1,Ver1,24,32,50,0.12060433626174927,0.10477172583341599,6.797042608261108
ver1,Ver1,4,16,50,0.07226746529340744,0.06827860325574875,8.276884317398071
ver1,Ver1,4,32,50,0.07040608674287796,0.066014863550663,8.466730117797852
ver1,Ver1,8,16,50,0.0575668141245842,0.062436528503894806,7.96823263168335
ver1,Ver1,8,32,50,0.07583310455083847,0.08406313508749008,8.268780708312988
ver1,Ver1,24,16,50,0.1408679336309433,0.13958178460597992,6.636174917221069
ver1,Ver1,24,32,50,0.5609151721000671,0.6553901433944702,6.7793800830841064
ver1,Ver1,4,16,50,0.0688633844256401,0.06769713014364243,8.297874212265015
ver1,Ver1,4,32,50,0.5141587257385254,0.6357632279396057,8.497819185256958
ver1,Ver1,8,16,50,0.060755759477615356,0.061347655951976776,7.903114080429077
ver1,Ver1,8,32,50,0.0772327408194542,0.08702867478132248,8.20672869682312
ver1,Ver1,24,16,50,0.6253951191902161,0.7858722805976868,6.61812162399292
ver1,Ver1,24,32,50,0.08797519654035568,0.08239839226007462,6.788196802139282
