dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,4,16,100,0.0818367674946785,0.05827660486102104,814.2699429988861
data2,STGCN,4,32,100,0.084422767162323,0.059798430651426315,824.4963936805725
data2,STGCN,4,64,100,0.08651203662157059,0.06076148524880409,854.542795419693
data2,STGCN,8,16,100,0.08695295453071594,0.062033623456954956,836.0966594219208
data2,STGCN,8,32,100,0.08684670180082321,0.06160484626889229,852.6467280387878
data2,STGCN,8,64,100,0.08714425563812256,0.06222771853208542,1053.170315504074
data2,STGCN,12,16,100,0.10335107147693634,0.06569734215736389,1117.5643112659454
data2,STGCN,12,32,100,0.09373549371957779,0.060721270740032196,1141.0354759693146
data2,STGCN,12,64,100,0.09047364443540573,0.060962945222854614,1176.6827907562256
data2,STGCN,4,16,100,0.08800213038921356,0.061561644077301025,1079.0176286697388
data2,STGCN,4,32,100,0.08495575189590454,0.06018756330013275,1100.0072448253632
data2,STGCN,4,64,100,0.08113504201173782,0.05753590911626816,1124.9873406887054
data2,STGCN,8,16,100,0.08795557171106339,0.06365948170423508,926.4738395214081
data2,STGCN,8,32,100,0.08788091689348221,0.06302760541439056,856.4510591030121
data2,STGCN,8,64,100,0.0871579498052597,0.05954040586948395,873.3805994987488
data2,STGCN,12,16,100,0.09240590780973434,0.06203794106841087,857.081239938736
data2,STGCN,12,32,100,0.08754434436559677,0.058855630457401276,864.1343801021576
data2,STGCN,12,64,100,0.08627057820558548,0.06000140681862831,891.8651351928711
data2,STGCN,4,16,100,0.0839180275797844,0.059376347810029984,808.2360253334045
data2,STGCN,4,32,100,0.08148375153541565,0.058362528681755066,818.6435284614563
data2,STGCN,4,64,100,0.07981225848197937,0.056573536247015,840.5977604389191
data2,STGCN,8,16,100,0.08652953058481216,0.06191675737500191,833.9074213504791
data2,STGCN,8,32,100,0.09269595146179199,0.06258964538574219,844.465550661087
data2,STGCN,8,64,100,0.0839901864528656,0.059558968991041183,875.2093107700348
data2,STGCN,12,16,100,0.08935634791851044,0.06222665309906006,857.361709356308
data2,STGCN,12,32,100,0.0897517055273056,0.061819497495889664,861.8600380420685
