dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,X,4,16,100,0.19506651163101196,0.18072456121444702,594.3036789894104
data2,STGCN,X,4,32,100,0.181248277425766,0.1652497500181198,611.9074540138245
data2,STGCN,X,4,64,100,0.1835414320230484,0.16547226905822754,629.3781855106354
data2,STGCN,X,8,16,100,0.2016087919473648,0.18065612018108368,616.5193839073181
data2,STGCN,X,8,32,100,0.19118203222751617,0.1707504391670227,625.5370237827301
data2,STGCN,X,8,64,100,0.2034153789281845,0.17923429608345032,646.5017766952515
data2,STGCN,X,12,16,100,0.2091149389743805,0.1853557825088501,630.3509576320648
data2,STGCN,X,12,32,100,0.1954992264509201,0.17700809240341187,641.537654876709
data2,STGCN,X,12,64,100,0.19240951538085938,0.1688583493232727,663.1193885803223
data2,STGCN,X,24,16,100,0.2321699857711792,0.2005728781223297,594.7596199512482
data2,STGCN,X,24,32,100,0.2621559202671051,0.22171036899089813,603.9272375106812
data2,STGCN,X,24,64,100,0.2612603008747101,0.21329164505004883,636.6653468608856
data2,STGCN,X,4,16,100,0.18382196128368378,0.16456709802150726,602.4393181800842
data2,STGCN,X,4,32,100,0.2191682755947113,0.20518837869167328,611.8372604846954
data2,STGCN,X,4,64,100,0.18757128715515137,0.1728331744670868,632.7498707771301
data2,STGCN,X,8,16,100,0.19797153770923615,0.180192232131958,619.4474647045135
data2,STGCN,X,8,32,100,0.202373206615448,0.176642045378685,632.491091966629
data2,STGCN,X,8,64,100,0.1911572366952896,0.16760839521884918,662.8249564170837
data2,STGCN,X,12,16,100,0.19513261318206787,0.17178422212600708,638.3925123214722
data2,STGCN,X,12,32,100,0.20705047249794006,0.17978796362876892,642.0696938037872
data2,STGCN,X,12,64,100,0.1948239654302597,0.1732882559299469,670.3422820568085
data2,STGCN,X,24,16,100,0.23307165503501892,0.195354163646698,599.0947382450104
data2,STGCN,X,24,32,100,0.23241740465164185,0.20480182766914368,613.3662016391754
data2,STGCN,X,24,64,100,0.25366175174713135,0.2151639759540558,645.2918527126312
data2,STGCN,X,4,16,100,0.18250876665115356,0.1667754054069519,599.850964307785
data2,STGCN,X,4,32,100,0.18365484476089478,0.1657557636499405,611.5570116043091
data2,STGCN,X,4,64,100,0.183238685131073,0.16662979125976562,630.512300491333
data2,STGCN,X,8,16,100,0.1939947009086609,0.16972200572490692,618.6938111782074
data2,STGCN,X,8,32,100,0.19806069135665894,0.17466844618320465,630.7869036197662
data2,STGCN,X,8,64,100,0.1936655193567276,0.17227467894554138,658.5722143650055
data2,STGCN,X,12,16,100,0.1934036761522293,0.176304891705513,634.6236844062805
data2,STGCN,X,12,32,100,0.19613239169120789,0.17336151003837585,638.2849338054657
data2,STGCN,X,12,64,100,0.19143107533454895,0.17797298729419708,665.4699568748474
data2,STGCN,X,24,16,100,0.2473568171262741,0.2003496140241623,600.5723671913147
data2,STGCN,X,24,32,100,0.28135591745376587,0.22599446773529053,615.0603587627411
data2,STGCN,X,24,64,100,0.24648720026016235,0.19981837272644043,650.0857536792755
data2,STGCN,X,4,16,100,0.18011903762817383,0.16762693226337433,602.8865902423859
data2,STGCN,X,4,32,100,0.20128299295902252,0.17965258657932281,614.1521902084351
data2,STGCN,X,4,64,100,0.18973921239376068,0.1753169447183609,642.7849950790405
data2,STGCN,X,8,16,100,0.20873279869556427,0.18315057456493378,626.155464887619
data2,STGCN,X,8,32,100,0.1999395340681076,0.17643451690673828,635.8107721805573
data2,STGCN,X,8,64,100,0.19397138059139252,0.16848887503147125,659.2237741947174
data2,STGCN,X,12,16,100,0.19051812589168549,0.1733541637659073,636.8708472251892
data2,STGCN,X,12,32,100,0.19854871928691864,0.17489388585090637,645.1895785331726
data2,STGCN,X,12,64,100,0.19840213656425476,0.1759883612394333,665.0765314102173
data2,STGCN,X,24,16,100,0.21598385274410248,0.19235265254974365,592.8961811065674
data2,STGCN,X,24,32,100,0.2571466565132141,0.21408621966838837,603.5166347026825
data2,STGCN,X,24,64,100,0.2138359397649765,0.18331943452358246,634.05522108078
data2,STGCN,X,4,16,100,0.18136002123355865,0.16530436277389526,599.0435938835144
data2,STGCN,X,4,32,100,0.1803080141544342,0.16356664896011353,613.0323269367218
data2,STGCN,X,4,64,100,0.2054227739572525,0.19298671185970306,624.8927764892578
data2,STGCN,X,8,16,100,0.1976681798696518,0.17562349140644073,614.7870864868164
data2,STGCN,X,8,32,100,0.19768288731575012,0.17222292721271515,626.8472626209259
data2,STGCN,X,8,64,100,0.2096257209777832,0.1873372495174408,648.770840883255
data2,STGCN,X,12,16,100,0.20661495625972748,0.17560048401355743,632.3215782642365
data2,STGCN,X,12,32,100,0.19490478932857513,0.17672739923000336,646.1559898853302
data2,STGCN,X,12,64,100,0.19502432644367218,0.17475450038909912,664.0877814292908
data2,STGCN,X,24,16,100,0.29369619488716125,0.23471422493457794,595.1152079105377
data2,STGCN,X,24,32,100,0.2151775360107422,0.18721932172775269,603.6590991020203
