"yU1","yU2","yU3","yU4","yU5","yU6","yU7","yU8","yU9","yU10","yU11","yU12","yU13","yU14","yU15","yU16","yU17","yU18","yU19","yU20","yU21","yU22","yU23","yU24","yU25","yU26","yU27","yU28","yU29","yU30","yU31","yU32","yU33","yU34","yU35","yU36","yU37","yU38","yU39","yU40","yU41","yU42","yU43","yU44"
0.7372,0.904400000000001,0.864000000000001,0.6968,1.0816,0.799999999999999,0.82,0.7524,0.760399999999999,0.577999999999999,0.754799999999999,0.7408,0.5144,0.500399999999999,0.5204,0.6388,0.861599999999999,0.928000000000001,0.995200000000001,0.8628,1.4432,1.1696,2.2364,1.7548,1.578,1.1724,1.6164,0.532,3.052,2.6764,1.0008,1.3796,1.7384,1.5508,1.094,1.5972,1.9792,1.318,1.5904,1.1976,0.99,1.148,0.869199999999999,1.3384
0.732799999999999,0.8764,0.8596,0.6936,1.1284,0.798,0.82,0.73,0.7416,0.575200000000001,0.723599999999999,0.730400000000001,0.4964,0.483599999999999,0.521599999999999,0.6304,0.869199999999999,0.91,0.9772,0.8712,1.3596,1.1792,2.1648,1.7784,1.4908,1.1796,1.6596,0.5136,3.0508,2.7032,0.950799999999999,1.4068,1.7856,1.5056,1.102,1.5392,1.9332,1.2372,1.5772,1.1372,0.970000000000001,1.0904,0.864000000000001,1.2908
0.728399999999999,0.8484,0.8552,0.6904,1.1752,0.795999999999999,0.82,0.707599999999999,0.722799999999999,0.5724,0.692399999999999,0.720000000000001,0.478400000000001,0.466799999999999,0.5228,0.622,0.876799999999999,0.891999999999999,0.959199999999999,0.8796,1.276,1.1888,2.0932,1.802,1.4036,1.1868,1.7028,0.495200000000001,3.0496,2.73,0.9008,1.434,1.8328,1.4604,1.11,1.4812,1.8872,1.1564,1.564,1.0768,0.950000000000001,1.0328,0.8588,1.2432
0.724,0.820400000000001,0.8508,0.687200000000001,1.222,0.793999999999999,0.82,0.6852,0.703999999999999,0.569599999999999,0.661200000000001,0.7096,0.4604,0.449999999999999,0.523999999999999,0.6136,0.884399999999999,0.874000000000001,0.9412,0.888,1.1924,1.1984,2.0216,1.8256,1.3164,1.194,1.746,0.476800000000001,3.0484,2.7568,0.8508,1.4612,1.88,1.4152,1.118,1.4232,1.8412,1.0756,1.5508,1.0164,0.93,0.975199999999999,0.8536,1.1956
0.7196,0.792400000000001,0.846400000000001,0.683999999999999,1.2688,0.792,0.82,0.662800000000001,0.6852,0.566800000000001,0.630000000000001,0.699200000000001,0.442400000000001,0.433199999999999,0.5252,0.6052,0.891999999999999,0.856,0.9232,0.8964,1.1088,1.208,1.95,1.8492,1.2292,1.2012,1.7892,0.458400000000001,3.0472,2.7836,0.800800000000001,1.4884,1.9272,1.37,1.126,1.3652,1.7952,0.9948,1.5376,0.956,0.91,0.9176,0.8484,1.148
0.715199999999999,0.7644,0.842000000000001,0.6808,1.3156,0.789999999999999,0.82,0.6404,0.666399999999999,0.564,0.598800000000001,0.688800000000001,0.436400000000001,0.416399999999999,0.526399999999999,0.5968,0.8996,0.837999999999999,0.905200000000001,0.9048,1.0252,1.2176,1.8784,1.8728,1.142,1.2084,1.8324,0.440799999999999,3.046,2.8104,0.745200000000001,1.5156,1.9744,1.3248,1.134,1.3072,1.7492,0.919600000000001,1.5244,0.8956,0.890000000000001,0.859999999999999,0.8432,1.1004
0.710799999999999,0.752000000000001,0.8376,0.6776,1.3868,0.788,0.82,0.6252,0.6976,0.561200000000001,0.567600000000001,0.6784,0.4468,0.3996,0.5276,0.5884,0.9072,0.82,0.8872,0.9132,0.9316,1.2272,1.8068,1.8964,1.0548,1.2156,1.8756,0.441599999999999,3.0448,2.8372,0.699999999999999,1.5428,2.0216,1.2796,1.142,1.234,1.7032,0.8604,1.5112,0.827999999999999,0.870000000000001,0.811999999999999,0.838000000000001,1.0528
0.7224,0.744,0.8332,0.699999999999999,1.4808,0.786,0.82,0.647600000000001,0.7296,0.5624,0.5364,0.672000000000001,0.4864,0.383599999999999,0.532,0.58,0.9148,0.802,0.869199999999999,0.9216,0.841199999999999,1.2368,1.7076,1.92,0.992000000000001,1.2228,1.91,0.4436,3.0436,2.864,0.6556,1.57,2.06,1.2344,1.15,1.1512,1.6444,0.8012,1.498,0.76,0.85,0.797599999999999,0.832800000000001,1.0052
0.739599999999999,0.7568,0.828800000000001,0.73,1.5904,0.783999999999999,0.82,0.6724,0.7616,0.568800000000001,0.504799999999999,0.665600000000001,0.526,0.378,0.540799999999999,0.5716,0.9224,0.772,0.846,0.93,0.7508,1.2464,1.594,1.9064,0.9312,1.232,1.9136,0.445600000000001,3.0424,2.8908,0.627599999999999,1.5564,2.0632,1.1556,1.144,1.0684,1.554,0.758800000000001,1.4948,0.7128,0.833600000000001,0.7944,0.8276,0.944800000000001
0.7568,0.769600000000001,0.824400000000001,0.76,1.706,0.782,0.82,0.6972,0.7936,0.582800000000001,0.4688,0.6592,0.5656,0.372399999999999,0.5556,0.573600000000001,0.93,0.7432,0.8108,0.928799999999999,0.6776,1.2684,1.4804,1.9008,0.898,1.29,1.9172,0.458,3.018,2.92,0.6084,1.5596,2.0872,1.0824,1.1628,0.989599999999999,1.464,0.7432,1.4996,0.6656,0.850800000000001,0.7912,0.8224,0.8696
0.773999999999999,0.782400000000001,0.8184,0.790000000000001,1.8192,0.776399999999999,0.8104,0.722,0.8256,0.613200000000001,0.4328,0.662000000000001,0.6052,0.3668,0.570399999999999,0.577199999999999,0.944799999999999,0.7196,0.805999999999999,0.9284,0.6272,1.3,1.3668,1.9376,0.885199999999999,1.348,1.922,0.476000000000001,3.0096,2.9252,0.607200000000001,1.5724,2.1204,1.0092,1.1816,0.923599999999999,1.3784,0.7524,1.5264,0.631600000000001,0.888,0.812799999999999,0.8104,0.847200000000001
