"북춘천","철원","대관령","춘천","백령도","북강릉","강릉","서울","인천","원주","울릉도","수원","서산","청주","대전","추풍령","안동","포항","대구","전주","창원","광주","부산","목포","여수","흑산도","고창","홍성","제주","고산","진주","고창군","영광군","김해시","순창군","북창원","양산시","보성군","강진군","의령군","함양군","광양시","청송군","경주시"
1,0.96650135567942,0.86764060423033,0.990558589353135,0.912478454871705,0.849820266197489,0.839857521872601,0.936500500573731,0.958651906422221,0.905487716248113,0.808434638203416,0.939997547129211,0.900060981801542,0.861148227333306,0.821621480557861,0.751919986338202,0.809449362752406,0.68114699218253,0.722775229221722,0.737767566012706,0.656523351107295,0.58075827866339,0.663976545675606,0.678093453853612,0.678989050612141,0.548937824829447,0.708152384044449,0.889750479745203,0.644153161853773,0.623452096722263,0.668858732287028,0.706108936613571,0.711912147359041,0.660616036734771,0.728117992001037,0.651209669386967,0.668398605663707,0.663639834335036,0.677135694568661,0.661875485957769,0.708471401648041,0.717249467817177,0.786238274111894,0.663825623141257
0.96650135567942,1,0.845917458968925,0.961205836064878,0.936134078103397,0.81735803834673,0.815828473637532,0.921723689794063,0.948893729035579,0.870559465753761,0.788229721602824,0.924348082930903,0.879686279731496,0.831940943574294,0.798743343233425,0.724290611268923,0.780036225313829,0.65276143197492,0.700367485686013,0.711928718543881,0.636943901050406,0.57992275876259,0.653437645914727,0.689869895061742,0.673645462421703,0.565117334671523,0.712645989855086,0.856578244894891,0.653869987804527,0.633468941968836,0.647102217085097,0.705321347148588,0.714254281982564,0.651942813350976,0.726810681833738,0.631712584758754,0.656574362747766,0.656394734908778,0.693611489524335,0.64172452853,0.693549767036696,0.709699902294528,0.756717374015786,0.632434412934895
0.86764060423033,0.845917458968925,1,0.858042387911842,0.74064835894709,0.958883310188551,0.956609009361597,0.786213443664855,0.854705039479174,0.878692487426721,0.88345390435982,0.872532657527796,0.869563150586792,0.880925571098547,0.896384360457849,0.83974654416788,0.876455176227081,0.783089558935579,0.821146767872888,0.811302177201805,0.758316699929076,0.668228341805893,0.733034102922842,0.720623536103216,0.7460999249679,0.626311060584703,0.750731443354366,0.897987448400204,0.65584973910226,0.614212354005488,0.74766538170507,0.782172470790532,0.780083822366245,0.752984411731827,0.813572319873531,0.740307463750973,0.752549447579055,0.75149792560089,0.73107244326175,0.754675644333722,0.808682397426003,0.786532905521391,0.853414841861232,0.771566986188158
0.990558589353135,0.961205836064878,0.858042387911842,1,0.912606373546801,0.841488927366665,0.830889633859761,0.942685527046884,0.961331167664906,0.91263738424899,0.80904582352764,0.943957278225,0.894707428262631,0.867897652780449,0.82797534301019,0.758950361166782,0.817727392477469,0.686877020896765,0.723848664632119,0.745266706899485,0.666561414960893,0.598190352516215,0.672575235342315,0.691934020447891,0.690469250885478,0.565937717690805,0.720603946224733,0.892294840681271,0.650116562908927,0.631147267454368,0.68139109267396,0.715372917243229,0.725684897668562,0.669730070112367,0.738821601835646,0.664630864332485,0.678540190818017,0.672380146697346,0.690607536862615,0.672584705812633,0.713567072517061,0.729030306831559,0.791839446570334,0.670595939250169
0.912478454871705,0.936134078103397,0.74064835894709,0.912606373546801,1,0.708998412445264,0.709098352176883,0.893177738343479,0.907558911743009,0.813639319691107,0.663016923674986,0.874317158576067,0.862965328975069,0.764177973454157,0.724161390986269,0.638036672319433,0.68878458218745,0.543109198353891,0.598143024754409,0.648209689354453,0.52174933985458,0.539415364428816,0.528038254133273,0.653706145819759,0.585204056109662,0.518458593833979,0.664939511269046,0.811379595389722,0.594386778209175,0.593452066891199,0.549508807188966,0.645004245554142,0.674139629349809,0.528912835381324,0.655096812027647,0.514619987488443,0.535689146274336,0.577861053477158,0.63974850033565,0.534682189593169,0.598309011611724,0.625162746335193,0.664011197118231,0.508879121238466
0.849820266197489,0.81735803834673,0.958883310188551,0.841488927366665,0.708998412445264,1,0.984037618831849,0.779797502246815,0.836058810634683,0.874330166522385,0.89110265035981,0.843716104219926,0.854311157049979,0.874143539957486,0.890229536644294,0.850698975533957,0.877793898630507,0.811141481592838,0.84525081462732,0.824701950158594,0.793502633379171,0.700082603133464,0.769819840007226,0.740677192596186,0.778688543842925,0.670697156798733,0.765515725665553,0.870859812447794,0.674450369497075,0.656762125308493,0.77648882852675,0.793288844411873,0.796863711074653,0.782314819200482,0.829834297320087,0.782166530921335,0.790488879383539,0.768237236431464,0.754628726320833,0.790718771877162,0.827659054183055,0.801952934826284,0.861363021744904,0.808324713018188
0.839857521872601,0.815828473637532,0.956609009361597,0.830889633859761,0.709098352176883,0.984037618831849,1,0.774338544521492,0.833679664761993,0.874198065569044,0.884838257829245,0.843216261255656,0.851780621280414,0.872459956618783,0.892483874328112,0.854957848476134,0.86663966314752,0.811062834875368,0.848357131191894,0.827036512091852,0.78766400034602,0.702899907896068,0.767543335508351,0.742874134619938,0.778274935508724,0.666030914913224,0.774610041779445,0.86662002673653,0.668141564192442,0.644930208847332,0.778532261482268,0.796221141116037,0.800614253129002,0.776760933124833,0.832575308644933,0.776288287397266,0.784755675642267,0.770232216186756,0.751372309873057,0.787148217160311,0.834822946440053,0.79630488900756,0.858628248075608,0.80541884283516
0.936500500573731,0.921723689794063,0.786213443664855,0.942685527046884,0.893177738343479,0.779797502246815,0.774338544521492,1,0.947091842274948,0.882650573034161,0.754796270547795,0.916043408418234,0.87505221814125,0.845607679953046,0.776343341070526,0.690997019075103,0.752171311134365,0.604262982418971,0.633341274999716,0.697429229256982,0.586396785585293,0.576252455171773,0.590133936697603,0.616823060251514,0.616977628778188,0.482425787368052,0.654893903649459,0.862026798640453,0.573594955474758,0.567966574071398,0.607710503458407,0.659170579361148,0.657942756345479,0.588462346579387,0.664728586216786,0.58682750918314,0.59206068410809,0.596543935701965,0.616626705488161,0.589851864465145,0.635583819334184,0.659758529833489,0.727785642869967,0.580225878485942
0.958651906422221,0.948893729035579,0.854705039479174,0.961331167664906,0.907558911743009,0.836058810634683,0.833679664761993,0.947091842274948,1,0.893105546387434,0.80134855887411,0.935154488845608,0.91706004711735,0.859822051766222,0.81363856752903,0.762945104069695,0.806771075724478,0.675712485712317,0.719441251324024,0.75555918712186,0.658809242647691,0.588712171643673,0.658330857710845,0.694223956755881,0.68919853197988,0.540478181708594,0.724065614979925,0.902922752355584,0.635662178711692,0.609436809210258,0.678150015556282,0.726531762525272,0.723179777742139,0.663319623378428,0.740118731843203,0.657099172873066,0.666103835902835,0.677994706005287,0.689828096500429,0.66549040812688,0.718905777129864,0.728634685823908,0.781969557162325,0.650405347717197
0.905487716248113,0.870559465753761,0.878692487426721,0.91263738424899,0.813639319691107,0.874330166522385,0.874198065569044,0.882650573034161,0.893105546387434,1,0.841509051113896,0.928497429731698,0.909736748943931,0.925616551264412,0.88539992052355,0.832075340947446,0.884375732653596,0.745445184503496,0.776823373568772,0.812663451325019,0.706133382211285,0.655699677392853,0.692316448783515,0.716142454648347,0.715917060564777,0.597082883085297,0.773887059033544,0.929408739842503,0.639428731359404,0.619838475431308,0.724878776669342,0.783838273807575,0.777635981627037,0.694033767085077,0.788305413171996,0.69773561874243,0.698813111405965,0.718409629528667,0.717372290013229,0.71725601355469,0.768803355049029,0.75311243266304,0.852779048627793,0.731931038289444
