dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,4,16,150,0.1858397126197815,0.16900794208049774,895.0698204040527
data2,STGCN,4,32,150,0.17990687489509583,0.16402266919612885,903.7257895469666
data2,STGCN,4,64,150,0.1857786625623703,0.17065414786338806,940.3795273303986
data2,STGCN,8,16,150,0.20356173813343048,0.17749956250190735,920.7079286575317
data2,STGCN,8,32,150,0.1908949613571167,0.17090727388858795,932.4421207904816
data2,STGCN,8,64,150,0.18968512117862701,0.1688743680715561,974.4111785888672
data2,STGCN,12,16,150,0.2012677788734436,0.18001443147659302,939.1834032535553
data2,STGCN,12,32,150,0.20657525956630707,0.17917566001415253,950.0328631401062
data2,STGCN,12,64,150,0.19380390644073486,0.17154528200626373,992.0450956821442
