dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,4,16,50,0.1933899074792862,0.17272242903709412,296.86143684387207
data2,EPT-STGCN,4,32,50,0.20948255062103271,0.1937238872051239,298.48348212242126
data2,EPT-STGCN,4,64,50,0.1926722526550293,0.17334270477294922,310.3390431404114
data2,EPT-STGCN,8,16,50,0.19562764465808868,0.17834198474884033,305.67997312545776
data2,EPT-STGCN,8,32,50,0.204678475856781,0.1842161864042282,307.9664831161499
data2,EPT-STGCN,8,64,50,0.19921480119228363,0.17756806313991547,320.85828948020935
data2,EPT-STGCN,12,16,50,0.19863376021385193,0.17920471727848053,313.3022108078003
data2,EPT-STGCN,12,32,50,0.19944614171981812,0.18129010498523712,311.98876214027405
data2,EPT-STGCN,12,64,50,0.19900865852832794,0.188506081700325,320.69758772850037
