dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,O,4,16,100,0.18245677649974823,0.16887348890304565,596.5173888206482
data2,EPT-STGCN,O,4,32,100,0.19354338943958282,0.1852295994758606,600.1483452320099
data2,EPT-STGCN,O,4,64,100,0.18342401087284088,0.17294292151927948,618.5399355888367
data2,EPT-STGCN,O,8,16,100,0.1962333470582962,0.18718208372592926,610.8969519138336
data2,EPT-STGCN,O,8,32,100,0.197261244058609,0.18885931372642517,617.3017792701721
data2,EPT-STGCN,O,8,64,100,0.2001832127571106,0.19165532290935516,641.2142748832703
data2,EPT-STGCN,O,12,16,100,0.1948661208152771,0.18882933259010315,626.5739319324493
data2,EPT-STGCN,O,12,32,100,0.18433678150177002,0.1747923046350479,629.8102743625641
data2,EPT-STGCN,O,12,64,100,0.19061799347400665,0.18390482664108276,654.6989853382111
