dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,4,16,100,0.18294629454612732,0.1678468883037567,591.6293046474457
data2,STGCN,4,32,100,0.18111810088157654,0.16558820009231567,597.7997410297394
data2,STGCN,4,64,100,0.1835826337337494,0.16878487169742584,619.3966808319092
data2,STGCN,8,16,100,0.20405174791812897,0.175919309258461,609.5553574562073
data2,STGCN,8,32,100,0.19469821453094482,0.1725098043680191,621.2816889286041
data2,STGCN,8,64,100,0.20360861718654633,0.17777885496616364,643.9551386833191
data2,STGCN,12,16,100,0.20076890289783478,0.17023858428001404,629.0627813339233
data2,STGCN,12,32,100,0.20196571946144104,0.1721523106098175,636.3267438411713
data2,STGCN,12,64,100,0.19143332540988922,0.1756877303123474,661.5051109790802
