dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,X,12,64,50,0.2309633046388626,0.19519242644309998,443.2230830192566
data2,EPT-STGCN,X,24,16,50,0.21682524681091309,0.18782858550548553,393.859658241272
data2,EPT-STGCN,X,24,32,50,0.278384804725647,0.21794094145298004,403.61357069015503
data2,EPT-STGCN,X,24,64,50,0.23274847865104675,0.18938632309436798,419.3133113384247
data2,EPT-STGCN,X,4,16,50,0.18508386611938477,0.16518543660640717,400.5370669364929
data2,EPT-STGCN,X,4,32,50,0.1839194893836975,0.1631646603345871,405.6922097206116
data2,EPT-STGCN,X,4,64,50,0.20163436233997345,0.18380193412303925,419.02018189430237
data2,EPT-STGCN,X,8,16,50,0.19356487691402435,0.16669544577598572,413.8009476661682
data2,EPT-STGCN,X,8,32,50,0.1903851181268692,0.16225840151309967,416.30889344215393
data2,EPT-STGCN,X,8,64,50,0.2034536749124527,0.17378535866737366,431.2857074737549
data2,EPT-STGCN,X,12,16,50,0.20100268721580505,0.17353151738643646,421.9560673236847
data2,EPT-STGCN,X,12,32,50,0.19244854152202606,0.16882003843784332,425.29294300079346
data2,EPT-STGCN,X,12,64,50,0.1953737884759903,0.16621558368206024,438.31603145599365
data2,EPT-STGCN,X,24,16,50,0.21160219609737396,0.18517392873764038,393.2571988105774
data2,EPT-STGCN,X,24,32,50,0.25439074635505676,0.20672276616096497,397.2580976486206
data2,EPT-STGCN,X,24,64,50,0.3098905682563782,0.24418112635612488,413.90530490875244
data2,EPT-STGCN,X,4,16,50,0.1826353222131729,0.16424550116062164,399.9847207069397
data2,EPT-STGCN,X,4,32,50,0.18202708661556244,0.16413527727127075,404.7448663711548
data2,EPT-STGCN,X,4,64,50,0.182695209980011,0.1652022749185562,418.82092690467834
data2,EPT-STGCN,X,8,16,50,0.1981612741947174,0.16971054673194885,412.1428430080414
data2,EPT-STGCN,X,8,32,50,0.19320423901081085,0.16353006660938263,415.95002937316895
data2,EPT-STGCN,X,8,64,50,0.20720648765563965,0.17828543484210968,430.7607419490814
data2,EPT-STGCN,X,12,16,50,0.20614683628082275,0.17206493020057678,421.55097579956055
data2,EPT-STGCN,X,12,32,50,0.20014362037181854,0.18107984960079193,425.7494475841522
data2,EPT-STGCN,X,12,64,50,0.1990605890750885,0.17214129865169525,439.03839564323425
data2,EPT-STGCN,X,24,16,50,0.21807658672332764,0.19007828831672668,393.1794650554657
data2,EPT-STGCN,X,24,32,50,0.22300021350383759,0.19257518649101257,397.29104471206665
data2,EPT-STGCN,X,24,64,50,0.284601092338562,0.21666380763053894,416.50571393966675
data2,EPT-STGCN,X,4,16,50,0.1816893368959427,0.16220790147781372,406.87537240982056
data2,EPT-STGCN,X,4,32,50,0.1813865602016449,0.1608896404504776,411.59613943099976
data2,EPT-STGCN,X,4,64,50,0.18474766612052917,0.16360099613666534,419.32501101493835
data2,EPT-STGCN,X,8,16,50,0.19362951815128326,0.1640966832637787,414.90854120254517
data2,EPT-STGCN,X,8,32,50,0.2044365555047989,0.17609183490276337,418.923632144928
data2,EPT-STGCN,X,8,64,50,0.2005096673965454,0.17353974282741547,430.83476090431213
data2,EPT-STGCN,X,12,16,50,0.20106063783168793,0.1744031012058258,428.13413882255554
data2,EPT-STGCN,X,12,32,50,0.21975398063659668,0.18119384348392487,432.5814218521118
data2,EPT-STGCN,X,12,64,50,0.19517304003238678,0.16619159281253815,439.85795617103577
data2,EPT-STGCN,X,24,16,50,0.26901593804359436,0.22744032740592957,396.14160561561584
data2,EPT-STGCN,X,24,32,50,0.21347838640213013,0.1843234747648239,402.92085671424866
data2,EPT-STGCN,X,24,64,50,0.2769964933395386,0.22464409470558167,417.3288812637329
data2,EPT-STGCN,X,4,16,50,0.18195496499538422,0.16123241186141968,403.74849557876587
data2,EPT-STGCN,X,4,32,50,0.18193453550338745,0.16040125489234924,406.82700872421265
data2,EPT-STGCN,X,4,64,50,0.20069050788879395,0.1822611540555954,440.718003988266
data2,EPT-STGCN,X,8,16,50,0.20334568619728088,0.17391715943813324,564.371488571167
data2,EPT-STGCN,X,8,32,50,0.1895766258239746,0.16443507373332977,570.2408573627472
data2,EPT-STGCN,X,8,64,50,0.19847425818443298,0.16845574975013733,582.5612661838531
data2,EPT-STGCN,X,12,16,50,0.20077984035015106,0.17601162195205688,575.3753483295441
data2,EPT-STGCN,X,12,32,50,0.19746260344982147,0.17104867100715637,573.6108634471893
data2,EPT-STGCN,X,12,64,50,0.2052905261516571,0.1760542392730713,587.4934027194977
data2,EPT-STGCN,X,24,16,50,0.24635137617588043,0.2016834020614624,533.89120221138
data2,EPT-STGCN,X,24,32,50,0.2554831802845001,0.22225266695022583,400.81943249702454
data2,EPT-STGCN,X,24,64,50,0.35160931944847107,0.2775397300720215,416.46869921684265
