dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,X,4,16,100,0.17721974849700928,0.15387769043445587,596.8812947273254
data2,EPT-STGCN,X,4,32,100,0.1974186897277832,0.1804247945547104,602.2399017810822
data2,EPT-STGCN,X,4,64,100,0.18270091712474823,0.16473568975925446,626.370059967041
data2,EPT-STGCN,X,8,16,100,0.20166760683059692,0.17366816103458405,614.4727208614349
data2,EPT-STGCN,X,8,32,100,0.19472485780715942,0.16941146552562714,622.5661141872406
data2,EPT-STGCN,X,8,64,100,0.19082188606262207,0.16260582208633423,657.007780790329
data2,EPT-STGCN,X,12,16,100,0.20059992372989655,0.17905962467193604,626.026829957962
data2,EPT-STGCN,X,12,32,100,0.2031153291463852,0.1726890504360199,633.8730084896088
data2,EPT-STGCN,X,12,64,100,0.203236386179924,0.17465166747570038,670.6181349754333
data2,EPT-STGCN,X,24,16,100,0.21847712993621826,0.1904783397912979,593.5037548542023
data2,EPT-STGCN,X,24,32,100,0.20834580063819885,0.181356742978096,611.8530650138855
data2,EPT-STGCN,X,24,64,100,0.3292105197906494,0.26049038767814636,632.8479626178741
data2,EPT-STGCN,X,4,16,100,0.17422428727149963,0.1527756005525589,603.9092326164246
data2,EPT-STGCN,X,4,32,100,0.1817866563796997,0.15962862968444824,616.6294734477997
data2,EPT-STGCN,X,4,64,100,0.1767805963754654,0.1582665890455246,647.4272572994232
data2,EPT-STGCN,X,8,16,100,0.19741100072860718,0.17212648689746857,639.7393522262573
data2,EPT-STGCN,X,8,32,100,0.20398585498332977,0.17666734755039215,623.6535968780518
data2,EPT-STGCN,X,8,64,100,0.201711505651474,0.17573760449886322,641.7848360538483
data2,EPT-STGCN,X,12,16,100,0.2043897658586502,0.17802202701568604,626.1321680545807
data2,EPT-STGCN,X,12,32,100,0.20050933957099915,0.17319037020206451,637.1836287975311
data2,EPT-STGCN,X,12,64,100,0.19888073205947876,0.1692204773426056,681.1496388912201
data2,EPT-STGCN,X,24,16,100,0.2400643527507782,0.19935549795627594,615.7932329177856
data2,EPT-STGCN,X,24,32,100,0.2394675463438034,0.20546281337738037,609.6882328987122
data2,EPT-STGCN,X,24,64,100,0.2419186234474182,0.2025558352470398,635.9772043228149
data2,EPT-STGCN,X,4,16,100,0.18406997621059418,0.16551901400089264,601.4549362659454
data2,EPT-STGCN,X,4,32,100,0.18303750455379486,0.16164447367191315,611.723249912262
data2,EPT-STGCN,X,4,64,100,0.1806766539812088,0.1586654931306839,631.6013467311859
data2,EPT-STGCN,X,8,16,100,0.20141969621181488,0.17217937111854553,615.3841333389282
data2,EPT-STGCN,X,8,32,100,0.19748809933662415,0.16888491809368134,625.9523875713348
data2,EPT-STGCN,X,8,64,100,0.19328853487968445,0.16928909718990326,651.4281673431396
data2,EPT-STGCN,X,12,16,100,0.19995369017124176,0.1743597835302353,628.9500203132629
data2,EPT-STGCN,X,12,32,100,0.18824131786823273,0.16741307079792023,636.5388841629028
data2,EPT-STGCN,X,12,64,100,0.20542579889297485,0.17300519347190857,663.0821318626404
data2,EPT-STGCN,X,24,16,100,0.3204871416091919,0.2557883858680725,589.8455634117126
data2,EPT-STGCN,X,24,32,100,0.2843887209892273,0.22446204721927643,605.961975812912
data2,EPT-STGCN,X,24,64,100,0.21471375226974487,0.1867668479681015,636.1939172744751
data2,EPT-STGCN,X,4,16,100,0.18840532004833221,0.16766928136348724,596.5033960342407
data2,EPT-STGCN,X,4,32,100,0.18138813972473145,0.16182702779769897,604.4635276794434
data2,EPT-STGCN,X,4,64,100,0.18196752667427063,0.15993525087833405,627.8061816692352
data2,EPT-STGCN,X,8,16,100,0.19405102729797363,0.17020933330059052,619.778829574585
data2,EPT-STGCN,X,8,32,100,0.2002628892660141,0.17335857450962067,628.4811260700226
data2,EPT-STGCN,X,8,64,100,0.1929652839899063,0.16824010014533997,647.131588935852
data2,EPT-STGCN,X,12,16,100,0.2172592580318451,0.18853886425495148,629.9128663539886
data2,EPT-STGCN,X,12,32,100,0.1888131946325302,0.16297143697738647,636.4667088985443
data2,EPT-STGCN,X,12,64,100,0.19816996157169342,0.16979816555976868,660.8140947818756
data2,EPT-STGCN,X,24,16,100,0.22477099299430847,0.1914905309677124,591.8938913345337
data2,EPT-STGCN,X,24,32,100,0.2106742113828659,0.18676993250846863,601.1502294540405
data2,EPT-STGCN,X,24,64,100,0.21237613260746002,0.1875200718641281,634.4024918079376
data2,EPT-STGCN,X,4,16,100,0.18438619375228882,0.16278889775276184,595.6235189437866
data2,EPT-STGCN,X,4,32,100,0.18765848875045776,0.16925454139709473,602.0502116680145
data2,EPT-STGCN,X,4,64,100,0.18197719752788544,0.16211165487766266,624.5637242794037
data2,EPT-STGCN,X,8,16,100,0.19571220874786377,0.16980896890163422,617.4104137420654
data2,EPT-STGCN,X,8,32,100,0.19166506826877594,0.16393697261810303,829.4696662425995
data2,EPT-STGCN,X,8,64,100,0.19754615426063538,0.17380492389202118,1036.3327028751373
data2,EPT-STGCN,X,12,16,100,0.19695548713207245,0.18111367523670197,853.083958864212
data2,EPT-STGCN,X,12,32,100,0.19087429344654083,0.17041368782520294,869.1643908023834
data2,EPT-STGCN,X,12,64,100,0.20385892689228058,0.18000464141368866,904.6624429225922
