dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,X,4,16,50,0.181568443775177,0.16175806522369385,455.1079490184784
data2,EPT-STGCN,X,4,32,50,0.1895163655281067,0.1732109636068344,456.86773705482483
data2,EPT-STGCN,X,4,64,50,0.18012958765029907,0.1602645069360733,426.0693280696869
data2,EPT-STGCN,X,8,16,50,0.20106098055839539,0.17307549715042114,419.7367146015167
data2,EPT-STGCN,X,8,32,50,0.19385872781276703,0.16407530009746552,515.8853895664215
data2,EPT-STGCN,X,8,64,50,0.19123849272727966,0.1628628671169281,552.6211366653442
data2,EPT-STGCN,X,12,16,50,0.19973218441009521,0.17169182002544403,438.31437945365906
data2,EPT-STGCN,X,12,32,50,0.2272811383008957,0.19379010796546936,442.9858589172363
data2,EPT-STGCN,X,12,64,50,0.19962178170681,0.1857360303401947,453.0341649055481
data2,EPT-STGCN,X,24,16,50,0.24865460395812988,0.20698171854019165,406.14902424812317
data2,EPT-STGCN,X,24,32,50,0.2331855446100235,0.18898557126522064,410.0629913806915
data2,EPT-STGCN,X,24,64,50,0.22602112591266632,0.18819323182106018,424.7785995006561
data2,EPT-STGCN,X,4,16,50,0.21510691940784454,0.19711460173130035,410.3422727584839
data2,EPT-STGCN,X,4,32,50,0.1860734522342682,0.16825035214424133,412.39510202407837
data2,EPT-STGCN,X,4,64,50,0.1861734390258789,0.16757532954216003,424.37013721466064
data2,EPT-STGCN,X,8,16,50,0.19277027249336243,0.16338582336902618,422.50392055511475
data2,EPT-STGCN,X,8,32,50,0.19552713632583618,0.1696370393037796,427.8131754398346
data2,EPT-STGCN,X,8,64,50,0.20793597400188446,0.17882460355758667,439.60289478302
data2,EPT-STGCN,X,12,16,50,0.19913756847381592,0.17716749012470245,431.0951466560364
data2,EPT-STGCN,X,12,32,50,0.21168500185012817,0.18024305999279022,436.401328086853
data2,EPT-STGCN,X,12,64,50,0.21139270067214966,0.17573074996471405,449.0007016658783
data2,EPT-STGCN,X,24,16,50,0.24368329346179962,0.20438283681869507,409.24183464050293
data2,EPT-STGCN,X,24,32,50,0.22270675003528595,0.1907622218132019,414.9347686767578
data2,EPT-STGCN,X,24,64,50,0.25899186730384827,0.2027270346879959,428.5705494880676
data2,EPT-STGCN,X,4,16,50,0.18350040912628174,0.16916421055793762,417.2788872718811
data2,EPT-STGCN,X,4,32,50,0.18337860703468323,0.16886481642723083,422.60683131217957
data2,EPT-STGCN,X,4,64,50,0.18844890594482422,0.16685804724693298,433.15778946876526
data2,EPT-STGCN,X,8,16,50,0.19538119435310364,0.16557246446609497,426.954580783844
data2,EPT-STGCN,X,8,32,50,0.2037617564201355,0.17390207946300507,430.71940660476685
data2,EPT-STGCN,X,8,64,50,0.20311535894870758,0.1748780459165573,443.5683376789093
data2,EPT-STGCN,X,12,16,50,0.19662246108055115,0.1680419147014618,433.76090908050537
data2,EPT-STGCN,X,12,32,50,0.19864337146282196,0.18708744645118713,439.60440468788147
data2,EPT-STGCN,X,12,64,50,0.19546176493167877,0.1669664978981018,449.5146336555481
data2,EPT-STGCN,X,24,16,50,0.24744871258735657,0.20252016186714172,408.7845001220703
data2,EPT-STGCN,X,24,32,50,0.2472383975982666,0.21046435832977295,414.7907497882843
data2,EPT-STGCN,X,24,64,50,0.2738655209541321,0.23029500246047974,428.3073515892029
data2,EPT-STGCN,X,4,16,50,0.1798442304134369,0.1597309559583664,411.12095975875854
data2,EPT-STGCN,X,4,32,50,0.17980362474918365,0.1588401347398758,414.0445821285248
data2,EPT-STGCN,X,4,64,50,0.19580209255218506,0.17954744398593903,427.48648977279663
data2,EPT-STGCN,X,8,16,50,0.19896113872528076,0.17118164896965027,425.28579354286194
data2,EPT-STGCN,X,8,32,50,0.19892314076423645,0.17329563200473785,427.368839263916
data2,EPT-STGCN,X,8,64,50,0.1982608586549759,0.17322219908237457,440.1634728908539
data2,EPT-STGCN,X,12,16,50,0.20076555013656616,0.17445871233940125,430.5281341075897
data2,EPT-STGCN,X,12,32,50,0.19600258767604828,0.17129215598106384,435.4549787044525
data2,EPT-STGCN,X,12,64,50,0.20148828625679016,0.18162298202514648,451.01465940475464
data2,EPT-STGCN,X,24,16,50,0.27906593680381775,0.22427529096603394,399.80673146247864
data2,EPT-STGCN,X,24,32,50,0.20508809387683868,0.17971231043338776,406.37696385383606
data2,EPT-STGCN,X,24,64,50,0.26890599727630615,0.21019648015499115,421.0494248867035
data2,EPT-STGCN,X,4,16,50,0.1750236451625824,0.15407130122184753,408.5192277431488
data2,EPT-STGCN,X,4,32,50,0.18164955079555511,0.1614612340927124,411.20836353302
data2,EPT-STGCN,X,4,64,50,0.1832040250301361,0.16547678411006927,426.06918239593506
data2,EPT-STGCN,X,8,16,50,0.2007853090763092,0.17327852547168732,419.40363454818726
data2,EPT-STGCN,X,8,32,50,0.19728979468345642,0.17087720334529877,484.6574959754944
data2,EPT-STGCN,X,8,64,50,0.2030772715806961,0.17520073056221008,444.9641389846802
data2,EPT-STGCN,X,12,16,50,0.2103860229253769,0.1767445057630539,433.69551968574524
data2,EPT-STGCN,X,12,32,50,0.1977822482585907,0.17000380158424377,434.8538990020752
data2,EPT-STGCN,X,12,64,50,0.20606715977191925,0.17396670579910278,444.28421902656555
data2,EPT-STGCN,X,24,16,50,0.25233352184295654,0.21058861911296844,401.1350574493408
data2,EPT-STGCN,X,24,32,50,0.3992580771446228,0.2896004021167755,414.78289246559143
data2,EPT-STGCN,X,24,64,50,0.23370517790317535,0.20057488977909088,432.0391731262207
data2,EPT-STGCN,X,4,16,50,0.18786369264125824,0.17214687168598175,461.92242789268494
data2,EPT-STGCN,X,4,32,50,0.18003855645656586,0.16010403633117676,551.6360061168671
data2,EPT-STGCN,X,4,64,50,0.18681010603904724,0.16832095384597778,564.6541683673859
data2,EPT-STGCN,X,8,16,50,0.19368498027324677,0.1712660938501358,569.4152095317841
data2,EPT-STGCN,X,8,32,50,0.2010314166545868,0.1734374314546585,573.4507532119751
data2,EPT-STGCN,X,8,64,50,0.19741125404834747,0.16926360130310059,588.7689764499664
data2,EPT-STGCN,X,12,16,50,0.19600309431552887,0.16798891127109528,579.4493353366852
data2,EPT-STGCN,X,12,32,50,0.20147964358329773,0.16695798933506012,436.87696504592896
data2,EPT-STGCN,X,12,64,50,0.19960571825504303,0.17302078008651733,456.6196837425232
data2,EPT-STGCN,X,24,16,50,0.22326885163784027,0.20898202061653137,408.6932861804962
data2,EPT-STGCN,X,24,32,50,0.2616051435470581,0.20164133608341217,410.78802156448364
data2,EPT-STGCN,X,24,64,50,0.2768220007419586,0.22539889812469482,470.986834526062
data2,EPT-STGCN,X,4,16,50,0.18212449550628662,0.16675396263599396,548.2441062927246
data2,EPT-STGCN,X,4,32,50,0.18178203701972961,0.163996621966362,422.1145257949829
data2,EPT-STGCN,X,4,64,50,0.186689555644989,0.1683562994003296,429.03838324546814
data2,EPT-STGCN,X,8,16,50,0.20146632194519043,0.1715233474969864,421.0545301437378
data2,EPT-STGCN,X,8,32,50,0.197279155254364,0.16621552407741547,426.29633140563965
data2,EPT-STGCN,X,8,64,50,0.19522878527641296,0.17026714980602264,442.5098366737366
data2,EPT-STGCN,X,12,16,50,0.22166697680950165,0.17801915109157562,547.2329216003418
data2,EPT-STGCN,X,12,32,50,0.19615860283374786,0.17131677269935608,580.6190457344055
data2,EPT-STGCN,X,12,64,50,0.2056736946105957,0.17454871535301208,587.1476511955261
data2,EPT-STGCN,X,24,16,50,0.224627286195755,0.19109344482421875,420.73970079421997
data2,EPT-STGCN,X,24,32,50,0.2336568981409073,0.1946055293083191,414.17995524406433
data2,EPT-STGCN,X,24,64,50,0.24731722474098206,0.2006932646036148,429.11567854881287
data2,EPT-STGCN,X,4,16,50,0.195050448179245,0.17786505818367004,412.14063787460327
data2,EPT-STGCN,X,4,32,50,0.18384064733982086,0.16339309513568878,413.59056758880615
data2,EPT-STGCN,X,4,64,50,0.1878591924905777,0.16986197233200073,537.747759103775
data2,EPT-STGCN,X,8,16,50,0.19421027600765228,0.16972365975379944,543.6405670642853
data2,EPT-STGCN,X,8,32,50,0.18949288129806519,0.16655567288398743,425.7507996559143
data2,EPT-STGCN,X,8,64,50,0.20108802616596222,0.1717064380645752,441.5523338317871
data2,EPT-STGCN,X,12,16,50,0.20196059346199036,0.17304405570030212,432.08730721473694
data2,EPT-STGCN,X,12,32,50,0.19753742218017578,0.16894108057022095,433.73715138435364
data2,EPT-STGCN,X,12,64,50,0.19920969009399414,0.17194302380084991,452.75051736831665
data2,EPT-STGCN,X,24,16,50,0.2224579155445099,0.18987756967544556,443.5705523490906
data2,EPT-STGCN,X,24,32,50,0.30460408329963684,0.2411929816007614,410.94101214408875
data2,EPT-STGCN,X,24,64,50,0.2660087049007416,0.21797606348991394,431.9899892807007
data2,EPT-STGCN,X,4,16,50,0.18737030029296875,0.16822242736816406,505.7228424549103
data2,EPT-STGCN,X,4,32,50,0.18260329961776733,0.16585882008075714,553.6794147491455
data2,EPT-STGCN,X,4,64,50,0.18232908844947815,0.16074924170970917,480.5971963405609
data2,EPT-STGCN,X,8,16,50,0.20166179537773132,0.17491692304611206,425.95622205734253
data2,EPT-STGCN,X,8,32,50,0.194319486618042,0.1650886833667755,465.0563373565674
data2,EPT-STGCN,X,8,64,50,0.19914217293262482,0.17084968090057373,496.1391041278839
data2,EPT-STGCN,X,12,16,50,0.19027039408683777,0.16312803328037262,434.58455085754395
data2,EPT-STGCN,X,12,32,50,0.18993748724460602,0.1648450344800949,438.9391927719116
data2,EPT-STGCN,X,12,64,50,0.20273271203041077,0.17354972660541534,456.5862035751343
data2,EPT-STGCN,X,24,16,50,0.199603870511055,0.17504112422466278,411.6889605522156
data2,EPT-STGCN,X,24,32,50,0.2303321361541748,0.19264356791973114,413.00293493270874
data2,EPT-STGCN,X,24,64,50,0.2741726338863373,0.2363136261701584,424.4994287490845
data2,EPT-STGCN,X,4,16,50,0.18253198266029358,0.1650945246219635,407.97311639785767
data2,EPT-STGCN,X,4,32,50,0.1995135396718979,0.18059368431568146,429.1369197368622
data2,EPT-STGCN,X,4,64,50,0.20096524059772491,0.1863861083984375,428.7248330116272
data2,EPT-STGCN,X,8,16,50,0.19652777910232544,0.17003552615642548,424.18581223487854
data2,EPT-STGCN,X,8,32,50,0.19519399106502533,0.1664089560508728,431.54233384132385
data2,EPT-STGCN,X,8,64,50,0.19891437888145447,0.16683602333068848,460.1363151073456
data2,EPT-STGCN,X,12,16,50,0.2004735767841339,0.1864093691110611,435.7158191204071
data2,EPT-STGCN,X,12,32,50,0.1895400732755661,0.16762258112430573,441.3842625617981
data2,EPT-STGCN,X,12,64,50,0.2021721750497818,0.174550861120224,446.9810519218445
data2,EPT-STGCN,X,24,16,50,0.24577279388904572,0.20468291640281677,398.68465852737427
data2,EPT-STGCN,X,24,32,50,0.21495601534843445,0.1847582906484604,411.55928349494934
data2,EPT-STGCN,X,24,64,50,0.27336451411247253,0.21653112769126892,483.66668033599854
