dataset,method,W,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],2,30,0.2027980536222458,0.16434165835380554,135.46645522117615
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],4,30,0.19419579207897186,0.15829548239707947,135.74757766723633
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],2,30,0.20308008790016174,0.16431955993175507,135.50874733924866
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],4,30,0.20266282558441162,0.16401581466197968,135.5518901348114
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],2,30,0.19527985155582428,0.1651124209165573,135.60663771629333
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],4,30,0.18593080341815948,0.15732187032699585,135.58927822113037
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],2,30,0.2052903026342392,0.17185595631599426,135.35795736312866
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],4,30,0.19395950436592102,0.15401051938533783,135.62617254257202
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],2,30,0.18593411147594452,0.15733253955841064,135.4266710281372
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],4,30,0.20245663821697235,0.163920596241951,135.89560079574585
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],2,30,0.2554306387901306,0.20103928446769714,135.4949095249176
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],4,30,0.2500290274620056,0.19234995543956757,135.90323734283447
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],2,30,0.1942862868309021,0.15656980872154236,135.38423562049866
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],4,30,0.2080870121717453,0.16779330372810364,135.76491713523865
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],2,30,0.3003615736961365,0.23483633995056152,135.56724429130554
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],4,30,0.30036070942878723,0.23483577370643616,135.6714572906494
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],2,30,1.0661227703094482,0.8646091222763062,135.40321946144104
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],4,30,0.3351212739944458,0.261365681886673,135.86885738372803
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],2,30,0.19727197289466858,0.16619934141635895,135.4068422317505
arbitrary weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],4,30,0.1974382996559143,0.16618451476097107,135.72179198265076
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],2,30,0.9926291108131409,0.8397322297096252,135.53565621376038
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],4,30,0.19527369737625122,0.16510845720767975,135.7798433303833
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],2,30,0.19528113305568695,0.1651134341955185,135.4459090232849
arbitrary weights,Weighted Loss,1,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],4,30,0.18618209660053253,0.1575218290090561,135.90540599822998
