dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,X,4,16,100,0.1811668872833252,0.16167595982551575,593.6489963531494
data2,EPT-STGCN,X,4,32,100,0.1864599883556366,0.16443464159965515,600.5810122489929
data2,EPT-STGCN,X,4,64,100,0.18676616251468658,0.16684743762016296,629.2954680919647
data2,EPT-STGCN,X,8,16,100,0.1920713186264038,0.1663156896829605,615.5096192359924
data2,EPT-STGCN,X,8,32,100,0.1948864609003067,0.17626850306987762,619.2572650909424
data2,EPT-STGCN,X,8,64,100,0.19176194071769714,0.16803859174251556,644.2939002513885
data2,EPT-STGCN,X,12,16,100,0.1903662383556366,0.1671130508184433,624.165449142456
data2,EPT-STGCN,X,12,32,100,0.21105535328388214,0.17686639726161957,634.0418322086334
data2,EPT-STGCN,X,12,64,100,0.19922736287117004,0.17213019728660583,656.926851272583
