dataset,method,W,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
identity matrix weights,Weighted Loss,1,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],2,30,0.20501095056533813,0.16601087152957916,135.95241165161133
identity matrix weights,Weighted Loss,1,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4,30,0.20061317086219788,0.16317884624004364,135.942040681839
identity matrix weights,Weighted Loss,1,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],2,30,0.9976369738578796,0.8387143611907959,135.9637758731842
identity matrix weights,Weighted Loss,1,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],4,30,0.19541524350643158,0.1607239991426468,136.18502402305603
identity matrix weights,Weighted Loss,1,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],2,30,0.9858043789863586,0.8659734725952148,135.97097063064575
identity matrix weights,Weighted Loss,1,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],4,30,0.2504872977733612,0.22254891693592072,136.70979738235474
identity matrix weights,Weighted Loss,1,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],2,30,0.9900099039077759,0.841007649898529,135.9276990890503
identity matrix weights,Weighted Loss,1,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],4,30,0.20845820009708405,0.17926651239395142,137.18140578269958
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],2,30,1.0120930671691895,0.8403949737548828,135.98635482788086
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],4,30,0.20551200211048126,0.16362671554088593,136.3855278491974
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],2,30,0.24680843949317932,0.19372336566448212,135.86380076408386
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],4,30,1.031438946723938,0.8471527695655823,136.30108833312988
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],2,30,0.19015614688396454,0.1527102142572403,136.19633436203003
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],4,30,1.0101349353790283,0.839929461479187,136.19528651237488
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],2,30,0.294500470161438,0.23041076958179474,135.9146020412445
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],4,30,0.2945038676261902,0.23041652143001556,136.59843492507935
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],2,30,0.30682650208473206,0.24282407760620117,137.08577466011047
identity matrix weights,Weighted Loss,1,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],4,30,1.0661227703094482,0.8646091222763062,136.45055174827576
