dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,X,4,16,150,0.1841990351676941,0.16562959551811218,925.0975675582886
data2,EPT-STGCN,X,4,32,150,0.185865119099617,0.16503190994262695,933.544290304184
data2,EPT-STGCN,X,4,64,150,0.18512174487113953,0.16287386417388916,935.6428349018097
data2,EPT-STGCN,X,8,16,150,0.1969260722398758,0.17006000876426697,918.4386467933655
data2,EPT-STGCN,X,8,32,150,0.19673292338848114,0.16937541961669922,939.3871047496796
data2,EPT-STGCN,X,8,64,150,0.19635945558547974,0.16554170846939087,966.3170173168182
data2,EPT-STGCN,X,12,16,150,0.19339469075202942,0.17411500215530396,943.0480794906616
data2,EPT-STGCN,X,12,32,150,0.20023688673973083,0.17935694754123688,959.6476695537567
data2,EPT-STGCN,X,12,64,150,0.20413793623447418,0.17193056643009186,1000.4843797683716
data2,EPT-STGCN,X,24,16,150,0.22920553386211395,0.20273028314113617,888.4064316749573
data2,EPT-STGCN,X,24,32,150,0.236379474401474,0.19716808199882507,914.4860382080078
data2,EPT-STGCN,X,24,64,150,0.2753653824329376,0.23318146169185638,955.4352931976318
data2,EPT-STGCN,X,4,16,150,0.1973366141319275,0.17758694291114807,892.6792688369751
data2,EPT-STGCN,X,4,32,150,0.18397310376167297,0.16386160254478455,903.6652595996857
data2,EPT-STGCN,X,4,64,150,0.18091276288032532,0.1582457423210144,958.2399444580078
data2,EPT-STGCN,X,8,16,150,0.19713027775287628,0.1704055219888687,927.5711560249329
data2,EPT-STGCN,X,8,32,150,0.1956537812948227,0.16917310655117035,934.1793828010559
data2,EPT-STGCN,X,8,64,150,0.1887061893939972,0.16432729363441467,968.6497936248779
data2,EPT-STGCN,X,12,16,150,0.2090417593717575,0.174819216132164,962.6584665775299
data2,EPT-STGCN,X,12,32,150,0.19534103572368622,0.16777637600898743,992.9742069244385
data2,EPT-STGCN,X,12,64,150,0.20050321519374847,0.17570239305496216,1011.3714261054993
data2,EPT-STGCN,X,24,16,150,0.21957184374332428,0.18365958333015442,899.3848633766174
data2,EPT-STGCN,X,24,32,150,0.24099208414554596,0.20516075193881989,902.8794617652893
data2,EPT-STGCN,X,24,64,150,0.241421639919281,0.20819100737571716,957.8423628807068
data2,EPT-STGCN,X,4,16,150,0.1842167228460312,0.1651465743780136,897.0806670188904
data2,EPT-STGCN,X,4,32,150,0.18785786628723145,0.16865499317646027,904.9883694648743
data2,EPT-STGCN,X,4,64,150,0.178884819149971,0.15883801877498627,940.9509239196777
data2,EPT-STGCN,X,8,16,150,0.19390535354614258,0.16874809563159943,939.7256240844727
data2,EPT-STGCN,X,8,32,150,0.1988321840763092,0.17118404805660248,934.9054822921753
data2,EPT-STGCN,X,8,64,150,0.20189495384693146,0.1685621440410614,977.2967319488525
data2,EPT-STGCN,X,12,16,150,0.2221183478832245,0.1860683709383011,940.9936013221741
data2,EPT-STGCN,X,12,32,150,0.20058901607990265,0.18335814774036407,956.2533957958221
data2,EPT-STGCN,X,12,64,150,0.22074894607067108,0.18819859623908997,990.9092271327972
data2,EPT-STGCN,X,24,16,150,0.29064783453941345,0.2367950826883316,892.3990647792816
data2,EPT-STGCN,X,24,32,150,0.201693594455719,0.1763623058795929,905.7206518650055
data2,EPT-STGCN,X,24,64,150,0.22837385535240173,0.18996025621891022,966.2654478549957
data2,EPT-STGCN,X,4,16,150,0.17711494863033295,0.1539638638496399,908.4168493747711
data2,EPT-STGCN,X,4,32,150,0.18284359574317932,0.16143818199634552,905.3962919712067
data2,EPT-STGCN,X,4,64,150,0.17806671559810638,0.15741921961307526,980.6873388290405
data2,EPT-STGCN,X,8,16,150,0.19975292682647705,0.17422479391098022,927.8982291221619
data2,EPT-STGCN,X,8,32,150,0.20583127439022064,0.18262788653373718,959.482342004776
data2,EPT-STGCN,X,8,64,150,0.19567085802555084,0.1712721288204193,980.4304807186127
data2,EPT-STGCN,X,12,16,150,0.19848217070102692,0.1811341643333435,941.7330424785614
data2,EPT-STGCN,X,12,32,150,0.19836166501045227,0.17036676406860352,959.3256454467773
data2,EPT-STGCN,X,12,64,150,0.21283824741840363,0.1842857301235199,1008.0522277355194
data2,EPT-STGCN,X,24,16,150,0.23812119662761688,0.19578303396701813,890.467006444931
data2,EPT-STGCN,X,24,32,150,0.2210673838853836,0.19042712450027466,903.554030418396
data2,EPT-STGCN,X,24,64,150,0.2348073422908783,0.20384320616722107,960.1683869361877
data2,EPT-STGCN,X,4,16,150,0.17673072218894958,0.15465503931045532,896.3917999267578
data2,EPT-STGCN,X,4,32,150,0.1791851669549942,0.15838177502155304,907.6613700389862
data2,EPT-STGCN,X,4,64,150,0.18033121526241302,0.15989026427268982,957.037109375
data2,EPT-STGCN,X,8,16,150,0.19463534653186798,0.1684838831424713,929.9699614048004
data2,EPT-STGCN,X,8,32,150,0.19060751795768738,0.16708920896053314,959.774041891098
data2,EPT-STGCN,X,8,64,150,0.19507081806659698,0.1692628264427185,997.7620112895966
data2,EPT-STGCN,X,12,16,150,0.19993379712104797,0.17101643979549408,943.242883682251
data2,EPT-STGCN,X,12,32,150,0.21220175921916962,0.1833835244178772,959.2560441493988
data2,EPT-STGCN,X,12,64,150,0.1934514343738556,0.1662241369485855,996.5799450874329
data2,EPT-STGCN,X,24,16,150,0.2259972095489502,0.18816089630126953,897.2905380725861
data2,EPT-STGCN,X,24,32,150,0.2701299488544464,0.2303583323955536,970.9531605243683
data2,EPT-STGCN,X,24,64,150,0.22905407845973969,0.19763684272766113,1006.0788691043854
data2,EPT-STGCN,X,4,16,150,0.18791835010051727,0.16647695004940033,1008.9679734706879
data2,EPT-STGCN,X,4,32,150,0.1833019107580185,0.16469848155975342,953.0517480373383
data2,EPT-STGCN,X,4,64,150,0.18140621483325958,0.1594901978969574,937.5242338180542
data2,EPT-STGCN,X,8,16,150,0.18959137797355652,0.16509850323200226,928.051305770874
data2,EPT-STGCN,X,8,32,150,0.20297589898109436,0.174078568816185,932.1002004146576
data2,EPT-STGCN,X,8,64,150,0.18944868445396423,0.16089551150798798,971.2004027366638
data2,EPT-STGCN,X,12,16,150,0.19833272695541382,0.17083068192005157,955.2646851539612
data2,EPT-STGCN,X,12,32,150,0.1986195147037506,0.17466093599796295,967.7027306556702
data2,EPT-STGCN,X,12,64,150,0.18958745896816254,0.16234679520130157,995.3151021003723
data2,EPT-STGCN,X,24,16,150,0.25312256813049316,0.21618905663490295,901.338814496994
data2,EPT-STGCN,X,24,32,150,0.30679285526275635,0.24655388295650482,912.9284644126892
data2,EPT-STGCN,X,24,64,150,0.3018698990345001,0.24067847430706024,968.9003114700317
data2,EPT-STGCN,X,4,16,150,0.1845552623271942,0.16463792324066162,901.4937317371368
data2,EPT-STGCN,X,4,32,150,0.18029087781906128,0.16030758619308472,924.5080192089081
data2,EPT-STGCN,X,4,64,150,0.19433541595935822,0.17289294302463531,952.9215223789215
data2,EPT-STGCN,X,8,16,150,0.19578512012958527,0.16766437888145447,939.0833044052124
data2,EPT-STGCN,X,8,32,150,0.19947586953639984,0.173940047621727,950.0459537506104
data2,EPT-STGCN,X,8,64,150,0.1985931694507599,0.17397241294384003,996.2091724872589
data2,EPT-STGCN,X,12,16,150,0.19112776219844818,0.16686329245567322,953.7082815170288
data2,EPT-STGCN,X,12,32,150,0.19321173429489136,0.17911434173583984,963.3464579582214
