dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,,4,16,150,0.19281089305877686,0.17228594422340393,1107.7886958122253
data2,EPT-STGCN,,4,32,150,0.19697105884552002,0.18018704652786255,1221.6517498493195
data2,EPT-STGCN,,4,64,150,0.180952250957489,0.16022346913814545,1700.9914774894714
data2,EPT-STGCN,,8,16,150,0.20676454901695251,0.17639043927192688,1684.464239358902
data2,EPT-STGCN,,8,32,150,0.19628722965717316,0.17173710465431213,1695.1759448051453
data2,EPT-STGCN,,8,64,150,0.20443838834762573,0.17616941034793854,1761.702253818512
data2,EPT-STGCN,,12,16,150,0.20236152410507202,0.17624762654304504,1703.0784254074097
data2,EPT-STGCN,,12,32,150,0.18650531768798828,0.16707786917686462,1289.6720261573792
data2,EPT-STGCN,,12,64,150,0.1966669112443924,0.17362283170223236,1357.6432688236237
data2,EPT-STGCN,,24,16,150,0.21772564947605133,0.1906861811876297,1204.5808000564575
data2,EPT-STGCN,,24,32,150,0.20967352390289307,0.19053086638450623,1220.138491153717
data2,EPT-STGCN,,24,64,150,0.22077850997447968,0.1874653697013855,1292.5735068321228
data2,EPT-STGCN,,4,16,150,0.18116116523742676,0.16335080564022064,1218.846479177475
data2,EPT-STGCN,,4,32,150,0.181294247508049,0.16050851345062256,1223.8862133026123
data2,EPT-STGCN,,4,64,150,0.18788690865039825,0.16649985313415527,1275.372360944748
data2,EPT-STGCN,,8,16,150,0.19899047911167145,0.1727336347103119,1250.4902641773224
data2,EPT-STGCN,,8,32,150,0.20132574439048767,0.16906562447547913,1267.6552181243896
data2,EPT-STGCN,,8,64,150,0.19377447664737701,0.16645844280719757,1321.2782936096191
data2,EPT-STGCN,,12,16,150,0.1899624615907669,0.1641247421503067,1277.2315380573273
data2,EPT-STGCN,,12,32,150,0.1902327835559845,0.1660684198141098,1294.5170695781708
data2,EPT-STGCN,,12,64,150,0.21216647326946259,0.17910170555114746,1352.063899755478
data2,EPT-STGCN,,24,16,150,0.24607115983963013,0.20848244428634644,1467.5270700454712
data2,EPT-STGCN,,24,32,150,0.220298632979393,0.18734656274318695,1657.128386259079
data2,EPT-STGCN,,24,64,150,0.2159111648797989,0.17952223122119904,1288.6517260074615
data2,EPT-STGCN,,4,16,150,0.18793505430221558,0.16839703917503357,1204.8009667396545
data2,EPT-STGCN,,4,32,150,0.18137910962104797,0.15883661806583405,1213.6458733081818
data2,EPT-STGCN,,4,64,150,0.17685210704803467,0.1560763269662857,1258.2222242355347
data2,EPT-STGCN,,8,16,150,0.20635642111301422,0.1832139492034912,1240.8722503185272
data2,EPT-STGCN,,8,32,150,0.19112299382686615,0.16308139264583588,1253.9983913898468
data2,EPT-STGCN,,8,64,150,0.1912267655134201,0.16243116557598114,1302.0823459625244
data2,EPT-STGCN,,12,16,150,0.19694378972053528,0.17098172008991241,1266.219150543213
data2,EPT-STGCN,,12,32,150,0.19484548270702362,0.17181871831417084,1292.0306527614594
data2,EPT-STGCN,,12,64,150,0.19862191379070282,0.17391595244407654,1338.0238544940948
data2,EPT-STGCN,,24,16,150,0.21957942843437195,0.19683335721492767,1199.9742693901062
data2,EPT-STGCN,,24,32,150,0.253082275390625,0.2081041932106018,1222.6953444480896
data2,EPT-STGCN,,24,64,150,0.2384091019630432,0.20322293043136597,1285.7208473682404
data2,EPT-STGCN,,4,16,150,0.1847713440656662,0.1641021966934204,1200.24414229393
data2,EPT-STGCN,,4,32,150,0.18410518765449524,0.16585388779640198,1209.9092359542847
data2,EPT-STGCN,,4,64,150,0.1959066540002823,0.1741950809955597,1263.6793537139893
data2,EPT-STGCN,,8,16,150,0.1949128806591034,0.1727525293827057,1235.4676003456116
data2,EPT-STGCN,,8,32,150,0.19062849879264832,0.16589829325675964,1251.2549676895142
data2,EPT-STGCN,,8,64,150,0.20202016830444336,0.1741759330034256,1305.5417461395264
data2,EPT-STGCN,,12,16,150,0.19655154645442963,0.17271237075328827,1267.7973856925964
data2,EPT-STGCN,,12,32,150,0.19943314790725708,0.17382420599460602,1285.6034400463104
data2,EPT-STGCN,,12,64,150,0.19379054009914398,0.1683155745267868,1333.3904068470001
data2,EPT-STGCN,,24,16,150,0.21466173231601715,0.18422286212444305,1191.0237004756927
data2,EPT-STGCN,,24,32,150,0.2138938009738922,0.1871033012866974,1209.3026378154755
data2,EPT-STGCN,,24,64,150,0.21293272078037262,0.1883135586977005,1284.3612010478973
data2,EPT-STGCN,,4,16,150,0.1815132349729538,0.16312891244888306,1209.5157046318054
data2,EPT-STGCN,,4,32,150,0.1821380853652954,0.1613743156194687,1220.3837487697601
data2,EPT-STGCN,,4,64,150,0.19172510504722595,0.174773707985878,1273.4631764888763
data2,EPT-STGCN,,8,16,150,0.19658426940441132,0.16853569447994232,1244.2289900779724
data2,EPT-STGCN,,8,32,150,0.19599434733390808,0.16767457127571106,1266.8381853103638
data2,EPT-STGCN,,8,64,150,0.1971409022808075,0.17109568417072296,1325.5906808376312
data2,EPT-STGCN,,12,16,150,0.2014922797679901,0.17386412620544434,1274.027328491211
data2,EPT-STGCN,,12,32,150,0.194463312625885,0.16788949072360992,1293.6443240642548
data2,EPT-STGCN,,12,64,150,0.19175565242767334,0.16816850006580353,1362.5771069526672
data2,EPT-STGCN,,24,16,150,0.21489457786083221,0.18418850004673004,1207.521589756012
data2,EPT-STGCN,,24,32,150,0.22834882140159607,0.19886288046836853,1304.1106877326965
data2,EPT-STGCN,,24,64,150,0.20510348677635193,0.18848265707492828,1305.7729573249817
data2,EPT-STGCN,,4,16,150,0.17489807307720184,0.15419158339500427,1225.661708831787
data2,EPT-STGCN,,4,32,150,0.18359684944152832,0.16293369233608246,1220.9476897716522
data2,EPT-STGCN,,4,64,150,0.18545770645141602,0.16510751843452454,1271.6598501205444
data2,EPT-STGCN,,8,16,150,0.21361956000328064,0.18377454578876495,1253.9442102909088
data2,EPT-STGCN,,8,32,150,0.1953284591436386,0.16576874256134033,1263.8112049102783
data2,EPT-STGCN,,8,64,150,0.1980152726173401,0.1762198805809021,1318.8155133724213
data2,EPT-STGCN,,12,16,150,0.20486362278461456,0.17522281408309937,1291.5752651691437
data2,EPT-STGCN,,12,32,150,0.19707664847373962,0.17108798027038574,1293.5635242462158
data2,EPT-STGCN,,12,64,150,0.19693075120449066,0.1817338764667511,1354.2425384521484
data2,EPT-STGCN,,24,16,150,0.24948661029338837,0.21059633791446686,1212.7211079597473
data2,EPT-STGCN,,24,32,150,0.22360123693943024,0.1877521574497223,1232.3384935855865
data2,EPT-STGCN,,24,64,150,0.20667782425880432,0.18667595088481903,1719.6204884052277
data2,EPT-STGCN,,4,16,150,0.18136632442474365,0.16149841248989105,1232.4528033733368
data2,EPT-STGCN,,4,32,150,0.1834985315799713,0.16278807818889618,1232.0660450458527
