dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,X,4,16,50,0.18466559052467346,0.1687716841697693,298.70977807044983
data2,STGCN,X,4,32,50,0.1849673092365265,0.17056044936180115,302.93517112731934
data2,STGCN,X,4,64,50,0.18380147218704224,0.16924554109573364,315.828635931015
data2,STGCN,X,8,16,50,0.1892288327217102,0.16521534323692322,309.63451957702637
data2,STGCN,X,8,32,50,0.19349049031734467,0.1670973002910614,311.9735527038574
data2,STGCN,X,8,64,50,0.1946256011724472,0.17667746543884277,319.29763317108154
data2,STGCN,X,12,16,50,0.21567243337631226,0.1826164871454239,313.63677167892456
data2,STGCN,X,12,32,50,0.2017209827899933,0.18297800421714783,316.39408135414124
data2,STGCN,X,12,64,50,0.20723338425159454,0.17658653855323792,330.855233669281
data2,STGCN,X,24,16,50,0.26809749007225037,0.23254713416099548,294.5395245552063
data2,STGCN,X,24,32,50,0.24291585385799408,0.203666552901268,297.06458830833435
data2,STGCN,X,24,64,50,0.28515172004699707,0.22994668781757355,308.51699686050415
data2,STGCN,X,4,16,50,0.18557198345661163,0.16697485744953156,296.01366567611694
data2,STGCN,X,4,32,50,0.19159558415412903,0.17812560498714447,298.4770119190216
data2,STGCN,X,4,64,50,0.18485113978385925,0.17072218656539917,307.9063358306885
data2,STGCN,X,8,16,50,0.20272019505500793,0.17704319953918457,306.3970456123352
data2,STGCN,X,8,32,50,0.1915484070777893,0.16868022084236145,309.56044340133667
data2,STGCN,X,8,64,50,0.2002209722995758,0.17688393592834473,318.55440497398376
data2,STGCN,X,12,16,50,0.20501074194908142,0.17816457152366638,316.60161209106445
data2,STGCN,X,12,32,50,0.1988525688648224,0.1746988594532013,320.279851436615
data2,STGCN,X,12,64,50,0.19450163841247559,0.17206165194511414,330.93137526512146
data2,STGCN,X,24,16,50,0.2192535400390625,0.18909303843975067,300.69569540023804
data2,STGCN,X,24,32,50,0.2973635196685791,0.23625995218753815,304.38970160484314
data2,STGCN,X,24,64,50,0.264293909072876,0.2195814549922943,315.7397310733795
data2,STGCN,X,4,16,50,0.19585053622722626,0.1775324046611786,299.70926904678345
data2,STGCN,X,4,32,50,0.1842195987701416,0.1700906753540039,304.34235644340515
data2,STGCN,X,4,64,50,0.19689837098121643,0.18067531287670135,312.70669865608215
data2,STGCN,X,8,16,50,0.19602273404598236,0.17297732830047607,309.1517584323883
data2,STGCN,X,8,32,50,0.19668062031269073,0.17529167234897614,312.91930890083313
data2,STGCN,X,8,64,50,0.20057648420333862,0.17785774171352386,325.1006112098694
data2,STGCN,X,12,16,50,0.19043900072574615,0.17433805763721466,316.0773832798004
data2,STGCN,X,12,32,50,0.21219605207443237,0.18088378012180328,319.81625604629517
data2,STGCN,X,12,64,50,0.1945192664861679,0.17698462307453156,330.54512786865234
data2,STGCN,X,24,16,50,0.22023499011993408,0.19414544105529785,298.5856177806854
data2,STGCN,X,24,32,50,0.24838191270828247,0.21491211652755737,302.7948331832886
data2,STGCN,X,24,64,50,0.25507041811943054,0.21680371463298798,316.60772252082825
data2,STGCN,X,4,16,50,0.18551425635814667,0.1693963259458542,299.6606683731079
data2,STGCN,X,4,32,50,0.1912837028503418,0.1759854406118393,304.07965302467346
data2,STGCN,X,4,64,50,0.19280405342578888,0.17479735612869263,315.26385521888733
data2,STGCN,X,8,16,50,0.19109326601028442,0.16937708854675293,309.47827076911926
data2,STGCN,X,8,32,50,0.19763889908790588,0.17674314975738525,314.3667154312134
data2,STGCN,X,8,64,50,0.19467702507972717,0.17043668031692505,324.0295352935791
data2,STGCN,X,12,16,50,0.2031705230474472,0.17691916227340698,315.5279986858368
data2,STGCN,X,12,32,50,0.19210925698280334,0.16798140108585358,320.8016085624695
data2,STGCN,X,12,64,50,0.2043089121580124,0.1775696724653244,330.26979899406433
data2,STGCN,X,24,16,50,0.3954240679740906,0.27253755927085876,295.43202471733093
data2,STGCN,X,24,32,50,0.23731748759746552,0.20283563435077667,303.48646903038025
data2,STGCN,X,24,64,50,0.21688129007816315,0.19228075444698334,317.33310532569885
data2,STGCN,X,4,16,50,0.17802342772483826,0.15942639112472534,299.37621116638184
data2,STGCN,X,4,32,50,0.18394184112548828,0.16993175446987152,302.2460730075836
data2,STGCN,X,4,64,50,0.1854429543018341,0.16875441372394562,314.1224513053894
data2,STGCN,X,8,16,50,0.19754192233085632,0.17656159400939941,308.5192885398865
data2,STGCN,X,8,32,50,0.19926631450653076,0.17269577085971832,314.84704780578613
data2,STGCN,X,8,64,50,0.19945283234119415,0.17573678493499756,327.54709124565125
data2,STGCN,X,12,16,50,0.20077605545520782,0.17658884823322296,317.0560004711151
data2,STGCN,X,12,32,50,0.19310805201530457,0.1754094511270523,318.72782611846924
data2,STGCN,X,12,64,50,0.21957071125507355,0.18573381006717682,331.18695425987244
data2,STGCN,X,24,16,50,0.2324947863817215,0.19810396432876587,299.0769851207733
data2,STGCN,X,24,32,50,0.2766216993331909,0.2250390648841858,299.7795374393463
data2,STGCN,X,24,64,50,0.2686539888381958,0.21986062824726105,311.6880075931549
data2,STGCN,X,4,16,50,0.19388848543167114,0.18062636256217957,299.7067403793335
data2,STGCN,X,4,32,50,0.1833467185497284,0.16936548054218292,305.3035018444061
data2,STGCN,X,4,64,50,0.1848922222852707,0.16902218759059906,312.2836151123047
data2,STGCN,X,8,16,50,0.19313384592533112,0.17174170911312103,309.156357049942
